"strain","num_nodes","mean_diameter","sd_diameter","n","se_diameter","ci_lower","ci_upper"
"Petite",755,16.6233333333333,0.737066105380804,300,0.0425545314352156,16.5395890083688,16.7070776582979
"Petite",760,16.6333333333333,0.739851441896147,300,0.0427153429139073,16.5492725426887,16.7173941239779
"Petite",765,16.6433333333333,0.737973059361496,300,0.0426068944477052,16.5594859616429,16.7271807050237
"Petite",770,16.6533333333333,0.740484038265044,300,0.0427518658822944,16.5692006680557,16.737465998611
"Petite",775,16.6733333333333,0.749552077317464,300,0.0432754093610881,16.5881703713107,16.758496295356
"Petite",780,16.6933333333333,0.749105747067699,300,0.0432496404721032,16.6082210826719,16.7784455839948
"Petite",785,16.7066666666667,0.741025833902294,300,0.0427831464679957,16.6224724433963,16.790860889937
"Petite",790,16.7233333333333,0.754111731709496,300,0.0435386611301532,16.6376523103439,16.8090143563228
"Petite",795,16.7466666666667,0.74678052962051,300,0.0431153939801973,16.6618186036596,16.8315147296738
"Petite",800,16.7666666666667,0.748837821225139,300,0.0432341717663707,16.6815848573301,16.8517484760032
"Petite",805,16.7866666666667,0.745884285112744,300,0.0430636492794154,16.7019204335915,16.8714128997419
"Petite",810,16.7966666666667,0.746444564036397,300,0.0430959969981547,16.711856775556,16.8814765577773
"Petite",815,16.8166666666667,0.751624031350716,300,0.0433950336829727,16.7312682923918,16.9020650409415
"Petite",820,16.8266666666667,0.756215419987571,300,0.043660117629517,16.7407466258286,16.9125867075047
"Petite",825,16.8366666666667,0.756237532950483,300,0.043661394322026,16.7507441133876,16.9225892199458
"Petite",830,16.85,0.759003923917221,300,0.043821111978959,16.7637631336052,16.9362368663948
"Petite",835,16.86,0.763112794496165,300,0.0440583377324408,16.7732962900066,16.9467037099934
"Petite",840,16.8966666666667,0.775452541662043,300,0.044770773367236,16.8085609334503,16.9847723998831
"Petite",845,16.92,0.784635057789953,300,0.0453009261830647,16.8308509633282,17.0091490366718
"Petite",850,16.9366666666667,0.779753555670524,300,0.0450190925267945,16.8480722588088,17.0252610745246
"Petite",855,16.9566666666667,0.768172627848808,300,0.0443504673472611,16.8693880661371,17.0439452671963
"Petite",860,16.96,0.7661745306203,300,0.0442351071499865,16.8729484202252,17.0470515797748
"Petite",865,16.9766666666667,0.777692037531366,300,0.0449000707215363,16.8883064853506,17.0650268479827
"Petite",870,16.9866666666667,0.78007517575015,300,0.0450376612707494,16.8980357168266,17.0752976165067
"Petite",875,16.99,0.777978686160747,300,0.0449166203878698,16.9016072501046,17.0783927498954
"Petite",880,17.0066666666667,0.792917365630208,300,0.0457791054491729,16.91657660683,17.0967567265034
"Petite",885,17.0333333333333,0.796452558420738,300,0.0459832099000979,16.9428416102921,17.1238250563746
"Petite",890,17.0466666666667,0.791566472565965,300,0.0457011116017442,16.9567300932363,17.136603240097
"Petite",895,17.06,0.790664594927736,300,0.0456490416720235,16.9701658965292,17.1498341034708
"Petite",900,17.0733333333333,0.793760506299028,300,0.0458277841983837,16.9831474771418,17.1635191895249
"Petite",905,17.0833333333333,0.799072762532692,300,0.0461344874550347,16.9925439067034,17.1741227599632
"Petite",910,17.09,0.794146646609472,300,0.0458500780196017,16.9997702711362,17.1802297288638
"Petite",915,17.1033333333333,0.796725461136792,300,0.0459989659457556,17.0128106035023,17.1938560631643
"Petite",920,17.1133333333333,0.78477712718542,300,0.0453091285634363,17.0241681549538,17.2024985117128
"Petite",925,17.1233333333333,0.785394830017968,300,0.0453447916531014,17.0340979725016,17.2125686941651
"Petite",930,17.14,0.788970795649598,300,0.0455512501251049,17.0503583434158,17.2296416565842
"Petite",935,17.17,0.793641115829936,300,0.0458208911864368,17.0798277087712,17.2601722912288
"Petite",940,17.19,0.784826845398095,300,0.0453119990457835,17.1008291727131,17.2791708272869
"Petite",945,17.1966666666667,0.783177360595534,300,0.0452167659963052,17.1076832513233,17.28565008201
"Petite",950,17.2166666666667,0.790657544958766,300,0.0456486346418752,17.1268333642026,17.3064999691308
"Petite",955,17.2366666666667,0.780610914747524,300,0.0450685921761843,17.1479748469801,17.3253584863532
"Petite",960,17.25,0.767766164234361,300,0.0443270001595395,17.1627675812454,17.3372324187546
"Petite",965,17.2533333333333,0.768847173028425,300,0.0443894122313644,17.1659780920108,17.3406885746558
"Petite",970,17.27,0.765322849224529,300,0.0441859353016753,17.1830451869644,17.3569548130356
"Petite",975,17.28,0.768266954718459,300,0.0443559133116196,17.1927106821956,17.3672893178044
"Petite",980,17.28,0.768266954718459,300,0.0443559133116196,17.1927106821956,17.3672893178044
"Petite",985,17.3033333333333,0.76152607446881,300,0.0439667284089486,17.2168099040456,17.3898567626211
"Petite",990,17.3233333333333,0.757651420159995,300,0.0437430251381275,17.2372501363493,17.4094165303173
"Petite",995,17.3266666666667,0.754000848687604,300,0.0435322592958995,17.2409982420368,17.4123350912965
"Petite",1000,17.3333333333333,0.751067616198811,300,0.0433629090391994,17.2479981780981,17.4186684885686
"Petite",1005,17.35,0.750139340456381,300,0.043309315014222,17.2647703140366,17.4352296859634
"Petite",1010,17.3766666666667,0.754998209629689,300,0.0435898419567386,17.2908849234101,17.4624484099232
"Petite",1015,17.3966666666667,0.762403931481217,300,0.0440174115071909,17.3100434966062,17.4832898367271
"Petite",1020,17.41,0.755293471059263,300,0.0436068888833232,17.3241847095909,17.4958152904091
"Petite",1025,17.4366666666667,0.758004479886045,300,0.043763409050915,17.3505433555759,17.5227899777574
