"date","strain","time_lapse_replicate","id_file","file_id","replicate","timepoint","LABEL","ID","TRACK_ID","QUALITY","POSITION_X","POSITION_Y","POSITION_Z","POSITION_T","FRAME","RADIUS","VISIBILITY","MANUAL_SPOT_COLOR","MEAN_INTENSITY_CH1","MEDIAN_INTENSITY_CH1","MIN_INTENSITY_CH1","MAX_INTENSITY_CH1","TOTAL_INTENSITY_CH1","STD_INTENSITY_CH1","CONTRAST_CH1","SNR_CH1","ELLIPSE_X0","ELLIPSE_Y0","ELLIPSE_MAJOR","ELLIPSE_MINOR","ELLIPSE_THETA","ELLIPSE_ASPECTRATIO","AREA","PERIMETER","CIRCULARITY","SOLIDITY","SHAPE_INDEX","minutes","division_id","spot_num","percentage_cell_cycle","division_number","dt_minutes","percentage_max_area","Strain"
"2022sep30","petite",1,"2022sep30_gob21_1","2022sep30_petite_1","ancestor","t0","ID20605",20605,4,576,50.8936828771819,33.0243072957951,0,19200,64,1.99069502065484,1,NA,14217.7958477509,14897,9652,16383,8217886,2227.39813002827,-0.946759570436614,-227.01919112994,-0.00328363400381243,0.00520510010931885,2.14922888016883,1.85700470626199,-0.851558436691145,1.15736318433736,12.4497128027366,13.0831967501813,0.913990016460117,0.977195945945946,3.70795287543846,320,"2022sep30_gob21_1_4_10",24,0.911764705882353,1,155,94.5261437908497,"Petite"
"2022sep30","petite",1,"2022sep30_gob21_1","2022sep30_petite_1","ancestor","t0","ID20606",20606,90,720,59.1915671076056,39.5974704382941,0,19200,64,2.22316254098499,1,NA,12496.5961272476,12251,9815,16109,9035039,1668.55136800933,-0.956406705513869,-328.628382772731,-0.00235661011495477,0.0173001443966565,2.54191493900649,1.97460305021059,-0.580388181507238,1.28730427046357,15.5271699000423,14.9078412821578,0.877955792358186,0.979633401221996,3.7832810734793,320,"2022sep30_gob21_1_90_11",23,0.733333333333333,1,110,89.7388059701493,"Petite"
"2022sep30","petite",1,"2022sep30_gob21_1","2022sep30_petite_1","ancestor","t0","ID20561",20561,90,704,59.331871910773,39.3156165394528,0,19500,65,2.19135156091431,1,NA,12532.1457142857,12262,9811,16181,8772502,1589.68357543576,-0.956638217292142,-347.844661429097,0.00446838136414983,-0.0077761181249844,2.42961740516385,1.9955277599913,-0.555970971194307,1.21753124856276,15.0859959804985,14.4094633790932,0.913036703951866,0.983169705469846,3.70988812931744,325,"2022sep30_gob21_1_90_11",24,0.766666666666667,1,115,87.1890547263682,"Petite"
"2022sep30","petite",1,"2022sep30_gob21_1","2022sep30_petite_1","ancestor","t0","ID20571",20571,90,647,43.8572366234257,52.3302143001578,0,19500,65,2.10688364289105,1,NA,10911.1589506173,10943,7714,15256,7070431,1712.54521511089,-0.96402531285346,-341.46818267729,-0.0478438939055052,-0.0136624542174375,2.65993358134458,1.78392112469449,2.74607474316629,1.49106008361222,13.9453999933852,15.0649568798332,0.772156005794615,0.947368421052631,4.03415337001479,325,"2022sep30_gob21_1_90_13",3,0.0952380952380952,2,10,98.6301369863013,"Petite"
"2022sep30","petite",1,"2022sep30_gob21_1","2022sep30_petite_1","ancestor","t0","ID20572",20572,97,726,61.2880363306478,54.8300686087319,0,19500,65,2.23008470368634,1,NA,11198.5082417582,11212,9523,13342,8152514,845.648920189748,-0.961057127856942,-653.613925278911,-0.0067564004719112,0.00673145347573759,2.55098165230858,1.97872095513329,0.781599776157352,1.28920737696274,15.6240129555519,14.6078341586834,0.920091026231518,0.985074626865672,3.69563894003618,325,"2022sep30_gob21_1_97_12",16,0.67741935483871,1,105,85.4620364920541,"Petite"
"2022sep30","petite",1,"2022sep30_gob21_1","2022sep30_petite_1","ancestor","t0","ID20558",20558,4,595,50.9724844661203,32.9936314404377,0,19500,65,2.01718751259232,1,NA,14226.904040404,14678,10019,16383,8450781,2117.35514626073,-0.946553086148219,-237.995656868477,-0.00751947546038429,0.00879044593432656,2.28690835948919,1.81408829672679,-0.681036333543512,1.26063784415318,12.7832833272697,13.1237313078362,0.932690639887523,0.985074626865672,3.67059207680967,325,"2022sep30_gob21_1_4_10",25,0.941176470588235,1,160,97.0588235294118,"Petite"
"2022sep30","petite",1,"2022sep30_gob21_1","2022sep30_petite_1","ancestor","t0","ID20672",20672,4,596,50.9604389538132,32.9766781651091,0,19800,66,2.01803631865243,1,NA,14211.8252100841,14753,9702,16383,8456036,2150.62145502126,-0.946642300891955,-234.479399125269,0.0177467927724682,0.0137304193761008,2.32939575767157,1.80009218918249,2.4665820798774,1.29404247830744,12.7940436667708,13.2891283808717,0.910384172549623,0.982644628099174,3.71528883678529,330,"2022sep30_gob21_1_4_10",26,0.970588235294118,1,165,97.140522875817,"Petite"
"2022sep30","petite",1,"2022sep30_gob21_1","2022sep30_petite_1","ancestor","t0","ID20673",20673,90,733,59.314405808946,39.2769430242846,0,19800,66,2.23775088203192,1,NA,12376.8387978142,11973,10076,16329,9059846,1559.18175030246,-0.95735214832014,-356.383463634181,-0.00490752441955913,0.0166838507953364,2.56047335030968,1.99129692648794,-0.486146752795777,1.28583202045393,15.7316163505626,14.5274285184751,0.93671120711181,0.990514905149051,3.66270611785702,330,"2022sep30_gob21_1_90_11",25,0.8,1,120,90.9203980099503,"Petite"
"2022sep30","petite",1,"2022sep30_gob21_1","2022sep30_petite_1","ancestor","t0","ID20678",20678,90,558,44.2636969142487,52.3963982225911,0,19800,66,1.96035389146808,1,NA,10804.8655913979,10756,7681,15048,6029115,1760.24699635749,-0.964810496455351,-336.592653146758,-0.0282739980986187,0.0188234374353354,2.29590057726812,1.73033183229495,-0.0331900987050498,1.32685565532425,12.0731009201992,12.921784777273,0.908622921693076,0.982486865148862,3.71888790279788,330,"2022sep30_gob21_1_90_13",4,0.142857142857143,2,15,85.3881278538813,"Petite"
"2022sep30","petite",1,"2022sep30_gob21_1","2022sep30_petite_1","ancestor","t0","ID20679",20679,97,720,61.3453273675123,54.9737022047185,0,19800,66,2.21930756575771,1,NA,11129.0778859527,11178,9239,13279,8001807,805.486167522557,-0.961502061523406,-690.150546649119,0.0102561380435482,0.0175589199792428,2.52045359271724,2.00469254452515,0.793552260630975,1.25727688248287,15.4733682025369,14.4431441068919,0.932118730893365,0.986282578875172,3.67171796488039,330,"2022sep30_gob21_1_97_12",17,0.709677419354839,1,110,84.6380223660977,"Petite"
