"sim_number","transfer","time","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
9,1,890,"petite","second",499,336,50034,50134,835,100168,37684,41661,3694886,6369059,79345,10063945,"Normal"
9,2,855,"petite","second",15,387,2951,97067,402,100018,1975,66011,195673,10070347,67986,10266020,"Normal"
34,1,890,"petite","second",502,308,50098,50134,810,100232,37848,41662,3702088,6363064,79510,10065152,"Normal"
34,2,855,"petite","second",18,392,3639,96562,410,100201,2438,65715,241209,10017489,68153,10258698,"Normal"
7,1,890,"petite","second",519,322,50048,50096,841,100144,37837,41742,3693222,6364131,79579,10057353,"Normal"
7,2,855,"petite","second",13,395,2534,97582,408,100116,1726,66438,167884,10122006,68164,10289890,"Normal"
6,1,890,"petite","second",499,321,50043,50138,820,100181,38002,41674,3694723,6362402,79676,10057125,"Normal"
6,2,850,"petite","second",13,376,2620,97605,389,100225,1694,64449,168279,9845744,66143,10014023,"Normal"
1,1,890,"petite","second",501,334,50068,50104,835,100172,37770,41804,3696326,6367168,79574,10063494,"Normal"
1,2,855,"petite","second",15,387,2689,97426,402,100115,1792,66144,177464,10098955,67936,10276419,"Normal"
1,3,850,"petite","second",2,385,462,99720,387,100182,299,65891,29846,10064337,66190,10094183,"Normal"
8,1,890,"petite","second",505,328,50016,50186,833,100202,37897,41762,3690211,6379321,79659,10069532,"Normal"
8,2,855,"petite","second",15,378,2857,97204,393,100061,1921,66047,191304,10092412,67968,10283716,"Normal"
35,1,890,"petite","second",507,326,50015,50157,833,100172,37686,41728,3690687,6366535,79414,10057222,"Normal"
35,2,855,"petite","second",15,396,3158,97082,411,100240,2142,66039,210250,10073267,68181,10283517,"Normal"
32,1,890,"petite","second",510,321,50001,50028,831,100029,37812,41735,3688933,6345098,79547,10034031,"Normal"
32,2,855,"petite","second",19,389,3408,96705,408,100113,2321,65710,226592,10034300,68031,10260892,"Normal"
32,3,850,"petite","second",1,384,178,99966,385,100144,118,66051,11730,10076820,66169,10088550,"Normal"
50,1,890,"petite","second",511,332,50075,50104,843,100179,37778,41548,3699359,6351347,79326,10050706,"Normal"
50,2,855,"petite","second",18,391,3990,96176,409,100166,2682,65306,264387,9975785,67988,10240172,"Normal"
50,3,850,"petite","second",1,384,198,99858,385,100056,129,65832,12559,10045442,65961,10058001,"Normal"
43,1,890,"petite","second",504,329,50067,50149,833,100216,37699,41706,3701987,6360954,79405,10062941,"Normal"
43,2,850,"petite","second",11,396,2232,97869,407,100101,1475,64789,144859,9868899,66264,10013758,"Normal"
43,3,850,"petite","second",1,375,222,99921,376,100143,144,66240,14787,10082498,66384,10097285,"Normal"
44,1,890,"petite","second",505,320,50031,50052,825,100083,37630,41615,3692282,6350227,79245,10042509,"Normal"
44,2,850,"petite","second",8,401,1454,98706,409,100160,932,65236,93548,9939347,66168,10032895,"Normal"
44,3,850,"petite","second",1,377,261,99746,378,100007,174,65636,17075,10049496,65810,10066571,"Normal"
10,1,890,"petite","second",502,325,50043,50032,827,100075,37685,41465,3684353,6355440,79150,10039793,"Normal"
10,2,850,"petite","second",10,387,1964,98324,397,100288,1296,64918,127662,9907016,66214,10034678,"Normal"
17,1,890,"petite","second",507,328,50008,50011,835,100019,37874,41556,3695076,6353176,79430,10048252,"Normal"
17,2,855,"petite","second",15,379,3298,97030,394,100328,2209,66157,218238,10071964,68366,10290202,"Normal"
28,1,890,"petite","second",497,325,50070,50054,822,100124,37902,41553,3698642,6341490,79455,10040132,"Normal"
28,2,850,"petite","second",13,392,2545,97618,405,100163,1633,64378,162929,9840029,66011,10002958,"Normal"
28,3,850,"petite","second",1,392,148,99973,393,100121,93,65899,9272,10070953,65992,10080225,"Normal"
21,1,890,"petite","second",523,347,50011,50079,870,100090,37825,41625,3694223,6351890,79450,10046113,"Normal"
21,2,855,"petite","second",12,391,2329,97690,403,100019,1575,66334,155079,10124956,67909,10280035,"Normal"
26,1,890,"petite","second",513,322,50052,50186,835,100238,38023,41771,3701297,6378238,79794,10079535,"Normal"
26,2,850,"petite","second",8,399,1581,98624,407,100205,1010,65026,101503,9951123,66036,10052626,"Normal"
26,3,850,"petite","second",1,387,233,99998,388,100231,150,66158,15108,10086435,66308,10101543,"Normal"
19,1,890,"petite","second",524,336,50008,50149,860,100157,37808,41785,3698989,6365079,79593,10064068,"Normal"
