"sim_number","transfer","time","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
38,9,960,"petite","second-15min",64,404,9324,90731,468,100055,7297,42215,988964,9173549,49512,10162513,"Equal Growth Rates"
38,10,960,"petite","second-15min",48,409,7094,93294,457,100388,5535,43376,751355,9424002,48911,10175357,"Equal Growth Rates"
38,11,960,"petite","second-15min",45,415,6537,93542,460,100079,5071,43558,691171,9452509,48629,10143680,"Equal Growth Rates"
38,12,960,"petite","second-15min",32,405,4820,95204,437,100024,3773,44247,510044,9621074,48020,10131118,"Equal Growth Rates"
38,13,960,"petite","second-15min",25,419,3756,96451,444,100207,2961,44856,396891,9750486,47817,10147377,"Equal Growth Rates"
38,14,960,"petite","second-15min",15,437,2374,97781,452,100155,1824,45588,248262,9890384,47412,10138646,"Equal Growth Rates"
38,15,960,"petite","second-15min",11,422,1854,98321,433,100175,1416,45681,194843,9936050,47097,10130893,"Equal Growth Rates"
38,16,960,"petite","second-15min",11,430,1407,98662,441,100069,1089,45777,148588,9962745,46866,10111333,"Equal Growth Rates"
38,17,960,"petite","second-15min",8,432,1270,99157,440,100427,995,46083,133493,10013773,47078,10147266,"Equal Growth Rates"
38,18,960,"petite","second-15min",12,416,2033,98046,428,100079,1584,45604,215026,9898819,47188,10113845,"Equal Growth Rates"
38,19,960,"petite","second-15min",14,412,2142,97890,426,100032,1657,45567,227749,9902109,47224,10129858,"Equal Growth Rates"
38,20,960,"petite","second-15min",8,434,898,99105,442,100003,706,46018,96349,10003228,46724,10099577,"Equal Growth Rates"
38,21,960,"petite","second-15min",2,426,291,99755,428,100046,224,46434,31336,10080290,46658,10111626,"Equal Growth Rates"
38,22,960,"petite","second-15min",3,435,351,99792,438,100143,275,46258,37166,10086120,46533,10123286,"Equal Growth Rates"
38,23,960,"petite","second-15min",1,424,85,100218,425,100303,61,46576,9134,10125338,46637,10134472,"Equal Growth Rates"
5,1,955,"petite","second-15min",363,228,50025,50218,591,100243,38538,22766,5159595,4948825,61304,10108420,"Equal Growth Rates"
5,2,955,"petite","second-15min",288,262,41150,58969,550,100119,31243,26732,4238654,5797926,57975,10036580,"Equal Growth Rates"
