"sim_number","transfer","time","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
26,2,870,"petite","second",4,4,445,627,8,1072,321,463,32003,70379,784,102382,"100k"
26,3,840,"petite","second",4,6,362,839,10,1201,219,517,22284,80197,736,102481,"100k"
26,4,830,"petite","second",1,4,90,1067,5,1157,54,636,5210,96185,690,101395,"100k"
26,5,860,"petite","second",2,5,185,827,7,1012,129,583,13143,88682,712,101825,"100k"
26,6,855,"petite","second",2,6,152,883,8,1035,107,590,10213,90894,697,101107,"100k"
19,1,865,"petite","second",6,4,560,574,10,1134,375,417,36304,63870,792,100174,"100k"
19,2,865,"petite","second",4,7,290,731,11,1021,215,525,20216,80378,740,100594,"100k"
19,3,845,"petite","second",1,5,72,982,6,1054,54,625,4759,96497,679,101256,"100k"
19,4,850,"petite","second",1,7,128,919,8,1047,92,607,8327,92542,699,100869,"100k"
45,1,845,"petite","second",6,4,603,683,10,1286,364,445,35238,67545,809,102783,"100k"
45,2,845,"petite","second",2,4,245,868,6,1113,156,578,15775,85443,734,101218,"100k"
42,1,875,"petite","second",6,4,544,553,10,1097,372,425,36770,63563,797,100333,"100k"
42,2,840,"petite","second",2,4,204,926,6,1130,124,582,12499,88278,706,100777,"100k"
27,1,865,"petite","second",6,4,622,562,10,1184,410,405,39985,61496,815,101481,"100k"
27,2,830,"petite","second",3,7,220,981,10,1201,126,588,12637,88332,714,100969,"100k"
27,3,840,"petite","second",1,7,131,980,8,1111,82,626,8081,92820,708,100901,"100k"
18,1,885,"petite","second",6,3,508,548,9,1056,365,420,35790,66494,785,102284,"100k"
18,2,850,"petite","second",3,5,322,821,8,1143,196,542,20937,81941,738,102878,"100k"
18,3,850,"petite","second",3,4,347,782,7,1129,229,526,22670,78030,755,100700,"100k"
18,4,845,"petite","second",2,6,259,852,8,1111,162,557,16589,83451,719,100040,"100k"
18,5,830,"petite","second",2,6,101,1048,8,1149,64,608,6197,95194,672,101391,"100k"
18,6,860,"petite","second",1,6,109,903,7,1012,73,616,7288,95214,689,102502,"100k"
20,1,850,"petite","second",5,6,566,663,11,1229,359,440,34145,67387,799,101532,"100k"
20,2,855,"petite","second",3,5,232,843,8,1075,160,564,15136,86649,724,101785,"100k"
20,3,865,"petite","second",3,5,342,728,8,1070,234,502,23493,78933,736,102426,"100k"
20,4,845,"petite","second",3,6,213,885,9,1098,143,576,13152,86921,719,100073,"100k"
16,1,885,"petite","second",5,4,504,526,9,1030,356,430,35937,64372,786,100309,"100k"
16,2,860,"petite","second",3,6,254,793,9,1047,171,552,16957,83786,723,100743,"100k"
29,1,870,"petite","second",6,3,602,545,9,1147,410,414,40820,60486,824,101306,"100k"
29,2,855,"petite","second",1,5,95,908,6,1003,63,626,6181,95347,689,101528,"100k"
29,3,855,"petite","second",1,6,136,887,7,1023,93,585,9041,91381,678,100422,"100k"
11,1,870,"petite","second",6,3,552,557,9,1109,382,428,36733,63414,810,100147,"100k"
11,2,860,"petite","second",5,5,441,657,10,1098,296,441,29524,70672,737,100196,"100k"
11,3,830,"petite","second",3,6,251,977,9,1228,152,559,14806,86233,711,101039,"100k"
11,4,860,"petite","second",2,5,274,773,7,1047,199,555,18390,83135,754,101525,"100k"
37,1,890,"petite","second",51,36,5127,5006,87,10133,3864,4152,378594,632001,8016,1010595,"1mill"
37,2,870,"petite","second",29,38,3089,7012,67,10101,2250,5201,223062,794079,7451,1017141,"1mill"
37,3,860,"petite","second",16,52,1847,8277,68,10124,1284,5780,125974,884133,7064,1010107,"1mill"
37,4,860,"petite","second",16,52,1820,8427,68,10247,1242,5927,123876,901530,7169,1025406,"1mill"
37,5,855,"petite","second",9,57,885,9198,66,10083,594,6239,58795,952304,6833,1011099,"1mill"
37,6,850,"petite","second",4,61,405,9692,65,10097,271,6378,26535,974372,6649,1000907,"1mill"
37,7,855,"petite","second",3,58,240,9794,61,10034,157,6676,15915,1013210,6833,1029125,"1mill"
37,8,850,"petite","second",1,62,62,9973,63,10035,40,6539,4035,1004707,6579,1008742,"1mill"
30,1,890,"petite","second",50,34,5140,5101,84,10241,3907,4278,379309,648828,8185,1028137,"1mill"
30,2,870,"petite","second",32,41,3282,6743,73,10025,2393,5040,234780,765850,7433,1000630,"1mill"
30,3,865,"petite","second",18,47,1965,8112,65,10077,1405,5829,137881,887682,7234,1025563,"1mill"
