"sim_number","transfer","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
4,12,"petite","second-15min",358,4450,48639,956951,4808,1005590,32,433,4779,95231,465,100010,"Equal Growth Rates"
4,13,"petite","second-15min",371,4430,51218,953494,4801,1004712,24,423,3295,96855,447,100150,"Equal Growth Rates"
4,14,"petite","second-15min",268,4493,35648,975044,4761,1010692,14,421,2165,97893,435,100058,"Equal Growth Rates"
4,15,"petite","second-15min",155,4550,22319,987073,4705,1009392,13,427,2090,98060,440,100150,"Equal Growth Rates"
4,16,"petite","second-15min",155,4569,20916,989758,4724,1010674,8,436,1598,98561,444,100159,"Equal Growth Rates"
4,17,"petite","second-15min",98,4613,13140,1003177,4711,1016317,4,429,546,99524,433,100070,"Equal Growth Rates"
4,18,"petite","second-15min",42,4613,5228,1009043,4655,1014271,6,427,626,99385,433,100011,"Equal Growth Rates"
4,19,"petite","second-15min",40,4620,5584,1005852,4660,1011436,5,431,701,99423,436,100124,"Equal Growth Rates"
4,20,"petite","second-15min",58,4616,7615,991167,4674,998782,2,437,204,99882,439,100086,"Equal Growth Rates"
4,21,"petite","second-15min",18,4624,2622,1005492,4642,1008114,2,447,224,99844,449,100068,"Equal Growth Rates"
4,22,"petite","second-15min",16,4641,2358,1011948,4657,1014306,2,429,249,100092,431,100341,"Equal Growth Rates"
3,1,"petite","second-15min",3859,2278,514101,492204,6137,1006305,312,247,44311,55760,559,100071,"Equal Growth Rates"
3,2,"petite","second-15min",3351,2526,452440,551750,5877,1004190,286,266,41363,58796,552,100159,"Equal Growth Rates"
3,3,"petite","second-15min",3128,2692,423156,578351,5820,1001507,232,275,34946,65055,507,100001,"Equal Growth Rates"
3,4,"petite","second-15min",2602,2977,355064,644890,5579,999954,205,313,28306,71803,518,100109,"Equal Growth Rates"
3,5,"petite","second-15min",2180,3353,298777,729790,5533,1028567,164,334,24031,76077,498,100108,"Equal Growth Rates"
3,6,"petite","second-15min",1872,3546,255341,770831,5418,1026172,124,353,17800,82353,477,100153,"Equal Growth Rates"
3,7,"petite","second-15min",1376,3834,184926,847432,5210,1032358,95,370,13386,86672,465,100058,"Equal Growth Rates"
3,8,"petite","second-15min",1000,4058,136221,881125,5058,1017346,67,390,10783,89549,457,100332,"Equal Growth Rates"
3,9,"petite","second-15min",820,4162,110724,902309,4982,1013033,65,395,10228,89816,460,100044,"Equal Growth Rates"
3,10,"petite","second-15min",805,4177,108094,901235,4982,1009329,62,383,9228,90789,445,100017,"Equal Growth Rates"
3,11,"petite","second-15min",708,4223,95436,908954,4931,1004390,46,392,6048,94060,438,100108,"Equal Growth Rates"
3,12,"petite","second-15min",450,4398,62685,955137,4848,1017822,40,412,5697,94393,452,100090,"Equal Growth Rates"
