"sim_number","transfer","time","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
32,1,890,"petite","second",510,321,50001,50028,831,100029,37812,41735,3688933,6345098,79547,10034031,"10mill"
32,2,855,"petite","second",19,389,3408,96705,408,100113,2321,65710,226592,10034300,68031,10260892,"10mill"
32,3,850,"petite","second",1,384,178,99966,385,100144,118,66051,11730,10076820,66169,10088550,"10mill"
50,1,890,"petite","second",511,332,50075,50104,843,100179,37778,41548,3699359,6351347,79326,10050706,"10mill"
50,2,855,"petite","second",18,391,3990,96176,409,100166,2682,65306,264387,9975785,67988,10240172,"10mill"
50,3,850,"petite","second",1,384,198,99858,385,100056,129,65832,12559,10045442,65961,10058001,"10mill"
43,1,890,"petite","second",504,329,50067,50149,833,100216,37699,41706,3701987,6360954,79405,10062941,"10mill"
43,2,850,"petite","second",11,396,2232,97869,407,100101,1475,64789,144859,9868899,66264,10013758,"10mill"
43,3,850,"petite","second",1,375,222,99921,376,100143,144,66240,14787,10082498,66384,10097285,"10mill"
44,1,890,"petite","second",505,320,50031,50052,825,100083,37630,41615,3692282,6350227,79245,10042509,"10mill"
44,2,850,"petite","second",8,401,1454,98706,409,100160,932,65236,93548,9939347,66168,10032895,"10mill"
44,3,850,"petite","second",1,377,261,99746,378,100007,174,65636,17075,10049496,65810,10066571,"10mill"
10,1,890,"petite","second",502,325,50043,50032,827,100075,37685,41465,3684353,6355440,79150,10039793,"10mill"
10,2,850,"petite","second",10,387,1964,98324,397,100288,1296,64918,127662,9907016,66214,10034678,"10mill"
17,1,890,"petite","second",507,328,50008,50011,835,100019,37874,41556,3695076,6353176,79430,10048252,"10mill"
17,2,855,"petite","second",15,379,3298,97030,394,100328,2209,66157,218238,10071964,68366,10290202,"10mill"
28,1,890,"petite","second",497,325,50070,50054,822,100124,37902,41553,3698642,6341490,79455,10040132,"10mill"
28,2,850,"petite","second",13,392,2545,97618,405,100163,1633,64378,162929,9840029,66011,10002958,"10mill"
28,3,850,"petite","second",1,392,148,99973,393,100121,93,65899,9272,10070953,65992,10080225,"10mill"
21,1,890,"petite","second",523,347,50011,50079,870,100090,37825,41625,3694223,6351890,79450,10046113,"10mill"
21,2,855,"petite","second",12,391,2329,97690,403,100019,1575,66334,155079,10124956,67909,10280035,"10mill"
26,1,890,"petite","second",513,322,50052,50186,835,100238,38023,41771,3701297,6378238,79794,10079535,"10mill"
26,2,850,"petite","second",8,399,1581,98624,407,100205,1010,65026,101503,9951123,66036,10052626,"10mill"
26,3,850,"petite","second",1,387,233,99998,388,100231,150,66158,15108,10086435,66308,10101543,"10mill"
19,1,890,"petite","second",524,336,50008,50149,860,100157,37808,41785,3698989,6365079,79593,10064068,"10mill"
19,2,850,"petite","second",11,381,2663,97759,392,100422,1728,64537,172326,9847492,66265,10019818,"10mill"
45,1,890,"petite","second",509,322,50045,50049,831,100094,37765,41818,3695844,6358223,79583,10054067,"10mill"
45,2,850,"petite","second",8,397,1477,98550,405,100027,958,65172,95249,9930259,66130,10025508,"10mill"
42,1,890,"petite","second",499,330,50173,50037,829,100210,38115,41639,3710292,6350809,79754,10061101,"10mill"
42,2,855,"petite","second",11,396,1940,98071,407,100011,1281,66626,127811,10161133,67907,10288944,"10mill"
27,1,890,"petite","second",517,322,50091,50060,839,100151,37819,41584,3698671,6344258,79403,10042929,"10mill"
27,2,855,"petite","second",20,382,3870,96358,402,100228,2629,65608,259140,10015307,68237,10274447,"10mill"
18,1,890,"petite","second",501,320,50018,50187,821,100205,37809,41628,3694738,6369268,79437,10064006,"10mill"
18,2,855,"petite","second",18,388,3509,96775,406,100284,2371,65960,232299,10044007,68331,10276306,"10mill"
20,1,890,"petite","second",511,328,50015,50185,839,100200,37733,41686,3683440,6358588,79419,10042028,"10mill"
20,2,855,"petite","second",14,386,2806,97286,400,100092,1875,66082,186654,10103758,67957,10290412,"10mill"
20,3,850,"petite","second",1,386,208,99903,387,100111,141,65938,13807,10062086,66079,10075893,"10mill"
16,1,890,"petite","second",520,337,50079,50094,857,100173,38023,41807,3699182,6364696,79830,10063878,"10mill"
16,2,850,"petite","second",11,399,2283,97975,410,100258,1474,64845,146226,9894851,66319,10041077,"10mill"
16,3,850,"petite","second",2,386,342,99865,388,100207,221,65847,22228,10062285,66068,10084513,"10mill"
29,1,890,"petite","second",514,320,50123,50197,834,100320,38059,41805,3699004,6368657,79864,10067661,"10mill"
