"sim_number","generation_number","diff_minutes","experiment","percent_cell_cycle","experiment_name"
1,1,33.0891,"slow_first_div",0.314136872244318,"Slow First Division"
1,1,34.9737,"slow_first_div",0.332028635677945,"Slow First Division"
1,1,34.6565,"slow_first_div",0.329017244740268,"Slow First Division"
1,2,15.1811,"slow_first_div",0.144124296859939,"Slow First Division"
1,2,39.6548,"slow_first_div",0.376469436807709,"Slow First Division"
1,2,27.3529,"slow_first_div",0.25967930384361,"Slow First Division"
1,2,48.1311,"slow_first_div",0.456940600127489,"Slow First Division"
1,2,38.3383,"slow_first_div",0.363971025176397,"Slow First Division"
1,2,17.2948,"slow_first_div",0.164191059233736,"Slow First Division"
1,2,28.5981,"slow_first_div",0.271500817070583,"Slow First Division"
1,2,20.3238,"slow_first_div",0.192947374335327,"Slow First Division"
1,2,49.2825,"slow_first_div",0.467871607459272,"Slow First Division"
1,2,28.0756,"slow_first_div",0.266540376449724,"Slow First Division"
1,2,29.3998,"slow_first_div",0.279111889311238,"Slow First Division"
1,2,1.9367,"slow_first_div",0.0183863834457743,"Slow First Division"
1,2,39.7856,"slow_first_div",0.377711208354519,"Slow First Division"
1,2,25.3403,"slow_first_div",0.240572351128701,"Slow First Division"
1,2,7.1566,"slow_first_div",0.0679423719564353,"Slow First Division"
1,2,34.6988,"slow_first_div",0.329418826823067,"Slow First Division"
1,2,38.2779,"slow_first_div",0.363397607734292,"Slow First Division"
1,2,32.9014,"slow_first_div",0.312354911087313,"Slow First Division"
1,2,45.9679,"slow_first_div",0.436403901273821,"Slow First Division"
1,2,47.0783,"slow_first_div",0.446945668288943,"Slow First Division"
1,2,9.57680000000001,"slow_first_div",0.0909189430389278,"Slow First Division"
1,2,20.7825,"slow_first_div",0.197302119048797,"Slow First Division"
1,2,52.4169,"slow_first_div",0.497628554984668,"Slow First Division"
1,2,24.6385,"slow_first_div",0.233909696147421,"Slow First Division"
1,2,38.8764,"slow_first_div",0.369079566990912,"Slow First Division"
1,2,39.6043,"slow_first_div",0.375990006661579,"Slow First Division"
1,2,36.1962,"slow_first_div",0.343634642680816,"Slow First Division"
1,2,25.4009,"slow_first_div",0.241147667304058,"Slow First Division"
1,2,22.1808,"slow_first_div",0.210577112580178,"Slow First Division"
1,2,17.2663,"slow_first_div",0.163920489745326,"Slow First Division"
1,2,26.2733,"slow_first_div",0.249429941749296,"Slow First Division"
1,2,52.7418,"slow_first_div",0.500713047152547,"Slow First Division"
1,2,29.752,"slow_first_div",0.282455558568016,"Slow First Division"
1,2,54.7552,"slow_first_div",0.519827594800465,"Slow First Division"
1,2,20.8173,"slow_first_div",0.197632498634645,"Slow First Division"
1,2,51.1418,"slow_first_div",0.485523181136521,"Slow First Division"
1,2,15.2389,"slow_first_div",0.144673030769768,"Slow First Division"
1,2,21.6952,"slow_first_div",0.205966988244314,"Slow First Division"
1,2,56.8152,"slow_first_div",0.539384547296099,"Slow First Division"
1,2,32.515,"slow_first_div",0.308686558444442,"Slow First Division"
1,2,35.5765,"slow_first_div",0.337751417699483,"Slow First Division"
1,2,31.7373,"slow_first_div",0.301303334194027,"Slow First Division"
1,2,47.8415,"slow_first_div",0.454191234378588,"Slow First Division"
1,2,42.7865,"slow_first_div",0.406200751434204,"Slow First Division"
1,2,35.7912,"slow_first_div",0.339789707845509,"Slow First Division"
1,2,32.5359,"slow_first_div",0.308884976069277,"Slow First Division"
1,2,34.2902,"slow_first_div",0.325539714789224,"Slow First Division"
1,2,39.5459,"slow_first_div",0.375435576551993,"Slow First Division"
1,2,29.9414,"slow_first_div",0.284253658957663,"Slow First Division"
1,3,43.6452,"slow_first_div",0.41435296265168,"Slow First Division"
1,3,29.7435,"slow_first_div",0.282374862404806,"Slow First Division"
