"sim_number","transfer","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
21,3,"petite","second",166,560,16630,88426,726,105056,11,50,1249,8752,61,10001,"Normal"
21,4,"petite","second",76,623,8051,94564,699,102615,2,64,403,9799,66,10202,"Normal"
21,5,"petite","second",28,645,2755,98922,673,101677,3,66,245,9917,69,10162,"Normal"
25,1,"petite","second",387,418,36900,67051,805,103951,30,42,3196,6804,72,10000,"Normal"
25,2,"petite","second",244,516,24827,78274,760,103101,21,47,2426,7686,68,10112,"Normal"
25,3,"petite","second",153,575,15080,88570,728,103650,9,57,872,9167,66,10039,"Normal"
25,4,"petite","second",67,619,6392,94189,686,100581,5,63,408,9828,68,10236,"Normal"
25,5,"petite","second",30,648,3153,99660,678,102813,1,56,96,9968,57,10064,"Normal"
31,1,"petite","second",396,403,38739,60070,799,98809,35,45,3684,6622,80,10306,"Normal"
31,2,"petite","second",283,476,28122,73697,759,101819,22,49,2121,7939,71,10060,"Normal"
31,3,"petite","second",167,557,17113,85861,724,102974,14,56,1513,8547,70,10060,"Normal"
31,4,"petite","second",129,575,13101,89249,704,102350,9,50,1126,8906,59,10032,"Normal"
31,5,"petite","second",66,636,6595,97025,702,103620,6,57,564,9452,63,10016,"Normal"
31,6,"petite","second",39,643,3941,97717,682,101658,2,66,145,9997,68,10142,"Normal"
12,1,"petite","second",353,454,34985,69224,807,104209,33,44,3530,6535,77,10065,"Normal"
12,2,"petite","second",265,493,25859,74803,758,100662,16,58,1914,8103,74,10017,"Normal"
12,3,"petite","second",139,581,14180,88003,720,102183,18,51,1772,8341,69,10113,"Normal"
12,4,"petite","second",118,590,11084,90700,708,101784,6,54,811,9225,60,10036,"Normal"
12,5,"petite","second",71,608,7058,93238,679,100296,2,56,237,9892,58,10129,"Normal"
9,1,"petite","second",372,429,37554,63736,801,101290,28,40,3358,6688,68,10046,"Normal"
9,2,"petite","second",241,510,22701,79185,751,101886,13,53,1144,8897,66,10041,"Normal"
29,1,"petite","second",378,433,37590,64624,811,102214,28,40,3550,6550,68,10100,"Normal"
29,2,"petite","second",252,514,25005,81212,766,106217,20,48,1896,8329,68,10225,"Normal"
29,3,"petite","second",149,564,14647,88420,713,103067,8,56,824,9291,64,10115,"Normal"
29,4,"petite","second",64,621,6157,95444,685,101601,4,61,543,9480,65,10023,"Normal"
29,5,"petite","second",34,647,3373,98254,681,101627,2,65,298,9926,67,10224,"Normal"
29,6,"petite","second",15,661,1444,100747,676,102191,1,61,45,10107,62,10152,"Normal"
29,7,"petite","second",2,663,210,102035,665,102245,1,62,118,9947,63,10065,"Normal"
29,8,"petite","second",6,663,637,103041,669,103678,1,63,66,10041,64,10107,"Normal"
45,1,"petite","second",375,419,35932,66203,794,102135,30,45,2676,7457,75,10133,"Normal"
45,2,"petite","second",173,556,17074,85847,729,102921,12,50,1332,8738,62,10070,"Normal"
45,3,"petite","second",95,607,9421,93453,702,102874,7,55,804,9250,62,10054,"Normal"
