"sim_number","bootstrap_num","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
38,26,"petite","second",3732,4153,368360,631704,8306,1263408,11,408,1858,98331,816,196662,"10mill-boot"
38,27,"petite","second",3797,4093,374327,625687,8186,1251374,11,403,1966,98047,806,196094,"10mill-boot"
38,28,"petite","second",3737,4150,369476,630569,8300,1261138,13,405,2106,98059,810,196118,"10mill-boot"
38,29,"petite","second",3717,4141,369921,630166,8282,1260332,5,416,829,99572,832,199144,"10mill-boot"
38,30,"petite","second",3720,4126,369454,630660,8252,1261320,9,408,1494,98617,816,197234,"10mill-boot"
5,1,"petite","second",3671,4147,365058,635035,8294,1270070,14,390,3000,97056,780,194112,"10mill-boot"
5,2,"petite","second",3708,4139,366523,633645,8278,1267290,18,390,3747,96410,780,192820,"10mill-boot"
5,3,"petite","second",3673,4131,361978,638088,8262,1276176,15,398,3386,96691,796,193382,"10mill-boot"
5,4,"petite","second",3610,4196,356904,643155,8392,1286310,12,388,2696,97690,776,195380,"10mill-boot"
5,5,"petite","second",3644,4181,360980,639094,8362,1278188,20,386,4681,95340,772,190680,"10mill-boot"
5,6,"petite","second",3699,4155,363519,636545,8310,1273090,14,401,3225,97177,802,194354,"10mill-boot"
5,7,"petite","second",3659,4127,364938,635137,8254,1270274,23,373,5425,94942,746,189884,"10mill-boot"
5,8,"petite","second",3657,4139,366628,633499,8278,1266998,17,389,3991,96192,778,192384,"10mill-boot"
5,9,"petite","second",3647,4180,359885,640158,8360,1280316,15,387,3829,96340,774,192680,"10mill-boot"
5,10,"petite","second",3531,4204,346542,653494,8408,1306988,13,374,3265,96788,748,193576,"10mill-boot"
5,11,"petite","second",3730,4157,368196,631830,8314,1263660,21,399,4529,95780,798,191560,"10mill-boot"
5,12,"petite","second",3583,4201,351548,648487,8402,1296974,11,397,2365,98054,794,196108,"10mill-boot"
5,13,"petite","second",3606,4178,358617,641455,8356,1282910,16,395,3022,97126,790,194252,"10mill-boot"
5,14,"petite","second",3661,4165,361216,639002,8330,1278004,20,391,3883,96229,782,192458,"10mill-boot"
5,15,"petite","second",3622,4117,362925,637110,8234,1274220,15,377,3871,96420,754,192840,"10mill-boot"
5,16,"petite","second",3637,4172,358185,641854,8344,1283708,13,390,2978,97757,780,195514,"10mill-boot"
5,17,"petite","second",3602,4166,360700,639355,8332,1278710,15,387,3417,96731,774,193462,"10mill-boot"
5,18,"petite","second",3652,4145,359930,640125,8290,1280250,18,389,3922,96239,778,192478,"10mill-boot"
5,19,"petite","second",3633,4197,357734,642338,8394,1284676,14,395,3020,97199,790,194398,"10mill-boot"
5,20,"petite","second",3610,4172,360101,639910,8344,1279820,15,385,3364,96636,770,193272,"10mill-boot"
5,21,"petite","second",3684,4079,367120,633055,8158,1266110,7,392,1679,98617,784,197234,"10mill-boot"
5,22,"petite","second",3567,4212,353420,646618,8424,1293236,17,379,3716,96285,758,192570,"10mill-boot"
5,23,"petite","second",3627,4136,360795,639312,8272,1278624,10,401,2259,97781,802,195562,"10mill-boot"
5,24,"petite","second",3662,4156,364360,635673,8312,1271346,17,386,3742,96395,772,192790,"10mill-boot"
5,25,"petite","second",3620,4128,360923,639156,8256,1278312,22,380,4881,95194,760,190388,"10mill-boot"
5,26,"petite","second",3641,4202,361665,638370,8404,1276740,17,389,3864,96225,778,192450,"10mill-boot"
5,27,"petite","second",3569,4169,349308,650841,8338,1301682,12,384,2771,98189,768,196378,"10mill-boot"
5,28,"petite","second",3604,4210,354143,645931,8420,1291862,14,385,3235,97037,770,194074,"10mill-boot"
5,29,"petite","second",3712,4115,367893,632258,8230,1264516,15,395,3824,96676,790,193352,"10mill-boot"
5,30,"petite","second",3666,4172,360663,639347,8344,1278694,16,394,2755,97384,788,194768,"10mill-boot"
31,1,"petite","second",3851,4122,375354,624696,8244,1249392,22,392,4449,95872,784,191744,"10mill-boot"
31,2,"petite","second",3694,4199,361504,638516,8398,1277032,12,408,2630,97517,816,195034,"10mill-boot"
31,3,"petite","second",3783,4151,369559,630486,8302,1260972,17,397,3448,96612,794,193224,"10mill-boot"
31,4,"petite","second",3893,4098,377081,622996,8196,1245992,15,396,2819,97431,792,194862,"10mill-boot"
31,5,"petite","second",3713,4235,363899,636213,8470,1272426,22,390,4574,95714,780,191428,"10mill-boot"
31,6,"petite","second",3736,4212,362448,637553,8424,1275106,21,391,4227,95959,782,191918,"10mill-boot"
31,7,"petite","second",3759,4125,368026,632122,8250,1264244,18,390,3942,96567,780,193134,"10mill-boot"
31,8,"petite","second",3779,4170,365957,634088,8340,1268176,13,396,2938,97271,792,194542,"10mill-boot"
31,9,"petite","second",3854,4131,374187,625933,8262,1251866,13,409,2375,97818,818,195636,"10mill-boot"
31,10,"petite","second",3743,4192,363974,636127,8384,1272254,21,384,4237,95843,768,191686,"10mill-boot"
31,11,"petite","second",3727,4206,362746,637395,8412,1274790,22,390,4308,96063,780,192126,"10mill-boot"
31,12,"petite","second",3800,4090,375632,624498,8180,1248996,16,395,3163,97176,790,194352,"10mill-boot"
31,13,"petite","second",3910,4084,383914,616143,8168,1232286,24,384,4244,95888,768,191776,"10mill-boot"
31,14,"petite","second",3821,4153,373716,626334,8306,1252668,21,397,4086,96125,794,192250,"10mill-boot"
