"sim_number","bootstrap_num","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
39,30,"petite","second",37749,41262,3678764,6321377,82524,12642754,2806,4318,289202,710899,8636,1421798,"10mill-boot"
4,1,"petite","second",37760,41351,3663409,6336710,82702,12673420,2871,4282,298527,702313,8564,1404626,"10mill-boot"
4,2,"petite","second",37678,41461,3681591,6318418,82922,12636836,2857,4259,301859,698576,8518,1397152,"10mill-boot"
4,3,"petite","second",37712,41459,3660489,6339535,82918,12679070,2926,4238,302486,697910,8476,1395820,"10mill-boot"
4,4,"petite","second",37700,41619,3660320,6339840,83238,12679680,2854,4280,300499,699577,8560,1399154,"10mill-boot"
4,5,"petite","second",37833,41542,3677484,6322539,83084,12645078,2784,4303,293403,706637,8606,1413274,"10mill-boot"
4,6,"petite","second",37772,41608,3658721,6341349,83216,12682698,2896,4239,306016,694001,8478,1388002,"10mill-boot"
4,7,"petite","second",37551,41634,3641278,6358862,83268,12717724,2765,4278,289697,710340,8556,1420680,"10mill-boot"
4,8,"petite","second",37725,41425,3670939,6329151,82850,12658302,2818,4273,296607,703610,8546,1407220,"10mill-boot"
4,9,"petite","second",37960,41425,3680095,6319919,82850,12639838,2871,4253,302802,697318,8506,1394636,"10mill-boot"
4,10,"petite","second",37756,41474,3668011,6332138,82948,12664276,2834,4258,298288,702001,8516,1404002,"10mill-boot"
4,11,"petite","second",37607,41656,3656548,6343491,83312,12686982,2886,4234,306840,693388,8468,1386776,"10mill-boot"
4,12,"petite","second",37963,41480,3681192,6318917,82960,12637834,2867,4229,303047,697158,8458,1394316,"10mill-boot"
4,13,"petite","second",37609,41723,3644917,6355101,83446,12710202,2793,4321,291099,709023,8642,1418046,"10mill-boot"
4,14,"petite","second",37765,41614,3663311,6336817,83228,12673634,2844,4256,296538,703498,8512,1406996,"10mill-boot"
4,15,"petite","second",37653,41557,3650227,6349784,83114,12699568,2832,4240,296377,703734,8480,1407468,"10mill-boot"
4,16,"petite","second",38050,41521,3698632,6301391,83042,12602782,2823,4306,297943,702216,8612,1404432,"10mill-boot"
4,17,"petite","second",37614,41539,3655818,6344194,83078,12688388,2855,4189,301064,699338,8378,1398676,"10mill-boot"
4,18,"petite","second",38012,41439,3679116,6320959,82878,12641918,2842,4273,292598,707541,8546,1415082,"10mill-boot"
4,19,"petite","second",37896,41380,3679475,6320563,82760,12641126,2722,4306,286199,713845,8612,1427690,"10mill-boot"
4,20,"petite","second",37921,41403,3673031,6327098,82806,12654196,2844,4252,295976,704302,8504,1408604,"10mill-boot"
4,21,"petite","second",37901,41307,3677133,6322902,82614,12645804,2841,4289,294046,706333,8578,1412666,"10mill-boot"
4,22,"petite","second",37617,41631,3655205,6344826,83262,12689652,2797,4264,292174,708047,8528,1416094,"10mill-boot"
4,23,"petite","second",37964,41363,3688800,6311224,82726,12622448,2853,4199,304438,695563,8398,1391126,"10mill-boot"
4,24,"petite","second",37830,41597,3662668,6337465,83194,12674930,2822,4274,295041,704978,8548,1409956,"10mill-boot"
4,25,"petite","second",37609,41702,3657822,6342255,83404,12684510,2927,4257,305983,694184,8514,1388368,"10mill-boot"
4,26,"petite","second",37884,41396,3673355,6326913,82792,12653826,2874,4184,302389,697636,8368,1395272,"10mill-boot"
4,27,"petite","second",37644,41719,3663449,6336679,83438,12673358,2869,4260,299735,700609,8520,1401218,"10mill-boot"
4,28,"petite","second",37888,41470,3676828,6323212,82940,12646424,2939,4181,310680,689461,8362,1378922,"10mill-boot"
4,29,"petite","second",37782,41496,3662145,6337904,82992,12675808,2883,4230,302602,697535,8460,1395070,"10mill-boot"
4,30,"petite","second",37455,41818,3635769,6364260,83636,12728520,2874,4273,301678,698329,8546,1396658,"10mill-boot"
3,1,"petite","second",37874,41549,3709738,6290416,83098,12580832,2900,4298,306554,693743,8596,1387486,"10mill-boot"
3,2,"petite","second",37438,41566,3688422,6311665,83132,12623330,2804,4304,297512,702566,8608,1405132,"10mill-boot"
3,3,"petite","second",37646,41591,3703292,6296733,83182,12593466,2883,4294,304155,696415,8588,1392830,"10mill-boot"
3,4,"petite","second",37533,41650,3674718,6325365,83300,12650730,2829,4269,299343,700675,8538,1401350,"10mill-boot"
3,5,"petite","second",37385,41684,3678039,6321965,83368,12643930,2815,4285,298445,701825,8570,1403650,"10mill-boot"
3,6,"petite","second",37471,41699,3673933,6326164,83398,12652328,2812,4277,301600,698535,8554,1397070,"10mill-boot"
3,7,"petite","second",37665,41505,3687959,6312176,83010,12624352,2829,4343,295879,704222,8686,1408444,"10mill-boot"
3,8,"petite","second",37337,41757,3662263,6337806,83514,12675612,2884,4230,303214,697071,8460,1394142,"10mill-boot"
3,9,"petite","second",37518,41665,3675431,6324661,83330,12649322,2957,4269,310914,689232,8538,1378464,"10mill-boot"
3,10,"petite","second",37830,41438,3717595,6282470,82876,12564940,2869,4287,306026,694205,8574,1388410,"10mill-boot"
3,11,"petite","second",38039,41306,3723729,6276301,82612,12552602,2905,4254,305960,694432,8508,1388864,"10mill-boot"
3,12,"petite","second",37634,41584,3692888,6307145,83168,12614290,2938,4211,313069,687013,8422,1374026,"10mill-boot"
3,13,"petite","second",37765,41450,3693686,6306320,82900,12612640,2891,4266,304319,695752,8532,1391504,"10mill-boot"
3,14,"petite","second",37487,41707,3667906,6332169,83414,12664338,2890,4272,303956,696099,8544,1392198,"10mill-boot"
3,15,"petite","second",37876,41465,3706944,6293109,82930,12586218,2791,4298,295082,705006,8596,1410012,"10mill-boot"
3,16,"petite","second",37569,41670,3678657,6321373,83340,12642746,2835,4268,298639,701895,8536,1403790,"10mill-boot"
3,17,"petite","second",37492,41652,3675779,6324251,83304,12648502,2830,4323,302281,697827,8646,1395654,"10mill-boot"
3,18,"petite","second",37578,41582,3680707,6319469,83164,12638938,2848,4251,302220,697892,8502,1395784,"10mill-boot"
3,19,"petite","second",37683,41449,3687274,6312808,82898,12625616,2902,4184,309857,690282,8368,1380564,"10mill-boot"
3,20,"petite","second",37965,41415,3719820,6280230,82830,12560460,2902,4239,303862,696318,8478,1392636,"10mill-boot"
3,21,"petite","second",37704,41622,3687859,6312238,83244,12624476,2839,4317,296495,703624,8634,1407248,"10mill-boot"
3,22,"petite","second",37773,41606,3697839,6302236,83212,12604472,2974,4171,317794,682243,8342,1364486,"10mill-boot"
