"sim_number","transfer","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
8,8,"petite","second",6,657,548,99881,663,100429,1,64,141,9921,65,10062,"1mill"
8,9,"petite","second",12,654,1162,98839,666,100001,3,64,235,9820,67,10055,"1mill"
39,1,"petite","second",377,438,36937,66743,815,103680,26,47,2602,7417,73,10019,"1mill"
39,2,"petite","second",166,572,16246,89053,738,105299,20,50,1784,8346,70,10130,"1mill"
39,3,"petite","second",134,571,13217,88800,705,102017,14,52,1431,8653,66,10084,"1mill"
39,4,"petite","second",92,608,9545,93697,700,103242,8,54,909,9247,62,10156,"1mill"
39,5,"petite","second",60,627,6111,93771,687,99882,2,59,261,9927,61,10188,"1mill"
39,6,"petite","second",16,656,1418,99747,672,101165,2,63,183,9872,65,10055,"1mill"
23,1,"petite","second",370,425,36993,64793,795,101786,26,45,3265,6740,71,10005,"1mill"
23,2,"petite","second",238,514,24595,78339,752,102934,16,43,1817,8210,59,10027,"1mill"
23,3,"petite","second",120,574,12318,88577,694,100895,7,53,680,9407,60,10087,"1mill"
23,4,"petite","second",40,648,4105,97962,688,102067,4,57,426,9751,61,10177,"1mill"
23,5,"petite","second",38,629,3968,95040,667,99008,1,62,118,9917,63,10035,"1mill"
5,1,"petite","second",378,408,37406,62619,786,100025,26,38,2874,7191,64,10065,"1mill"
5,2,"petite","second",222,515,21910,79026,737,100936,19,53,1984,8123,72,10107,"1mill"
5,3,"petite","second",134,577,13564,86193,711,99757,12,54,1443,8614,66,10057,"1mill"
5,4,"petite","second",100,601,10717,90599,701,101316,4,56,517,9552,60,10069,"1mill"
5,5,"petite","second",37,629,3823,98945,666,102768,1,60,69,10087,61,10156,"1mill"
16,1,"petite","second",354,450,35918,69571,804,105489,28,41,3252,6861,69,10113,"1mill"
16,2,"petite","second",231,512,22326,77781,743,100107,8,57,774,9262,65,10036,"1mill"
16,3,"petite","second",57,627,5765,94940,684,100705,5,68,443,9724,73,10167,"1mill"
16,4,"petite","second",34,636,3772,96370,670,100142,3,58,340,9697,61,10037,"1mill"
16,5,"petite","second",21,634,2570,99365,655,101935,1,62,266,9787,63,10053,"1mill"
35,1,"petite","second",391,403,38363,63202,794,101565,31,40,3008,7014,71,10022,"1mill"
35,2,"petite","second",240,499,22801,77313,739,100114,11,47,1123,9046,58,10169,"1mill"
35,3,"petite","second",72,622,7173,94002,694,101175,5,60,505,9514,65,10019,"1mill"
35,4,"petite","second",35,655,3773,98226,690,101999,4,64,447,9566,68,10013,"1mill"
14,1,"petite","second",388,419,38611,64259,807,102870,28,43,2806,7251,71,10057,"1mill"
14,2,"petite","second",175,568,17416,87839,743,105255,11,54,1189,9035,65,10224,"1mill"
14,3,"petite","second",71,629,7099,98050,700,105149,4,56,517,9700,60,10217,"1mill"
14,4,"petite","second",42,631,4108,97305,673,101413,5,63,314,9774,68,10088,"1mill"
14,5,"petite","second",15,652,1528,101522,667,103050,1,59,47,10021,60,10068,"1mill"
3,1,"petite","second",358,429,34981,67206,787,102187,28,42,3214,6909,70,10123,"1mill"
3,2,"petite","second",226,520,21741,80487,746,102228,13,56,1291,8832,69,10123,"1mill"
3,3,"petite","second",75,608,8016,94230,683,102246,9,52,1274,8891,61,10165,"1mill"
3,4,"petite","second",80,609,7819,91476,689,99295,6,59,691,9319,65,10010,"1mill"
3,5,"petite","second",52,620,5157,95145,672,100302,1,58,67,10084,59,10151,"1mill"
36,1,"petite","second",361,436,35896,65134,797,101030,29,42,2903,7157,71,10060,"1mill"
36,2,"petite","second",202,541,20386,82855,743,103241,13,50,1272,8753,63,10025,"1mill"
36,3,"petite","second",100,597,10230,90576,697,100806,3,60,353,9760,63,10113,"1mill"
19,1,"petite","second",391,414,38310,63129,805,101439,31,36,3316,6709,67,10025,"1mill"
19,2,"petite","second",238,525,23643,81780,763,105423,12,55,1334,8684,67,10018,"1mill"
19,3,"petite","second",82,624,7640,95192,706,102832,3,61,270,9879,64,10149,"1mill"
4,1,"petite","second",379,428,36062,66042,807,102104,31,47,3170,6892,78,10062,"1mill"
4,2,"petite","second",226,522,22727,81216,748,103943,15,50,1731,8465,65,10196,"1mill"
4,3,"petite","second",113,601,11757,91641,714,103398,10,52,1389,8646,62,10035,"1mill"
4,4,"petite","second",80,624,7894,96237,704,104131,7,58,816,9253,65,10069,"1mill"
4,5,"petite","second",58,634,5786,95859,692,101645,4,56,466,9552,60,10018,"1mill"
4,6,"petite","second",23,655,2693,99787,678,102480,2,58,210,9817,60,10027,"1mill"
4,7,"petite","second",18,640,1739,98635,658,100374,1,65,126,9955,66,10081,"1mill"
4,8,"petite","second",13,651,1417,98813,664,100230,2,60,243,9879,62,10122,"1mill"
4,9,"petite","second",14,660,1236,97927,674,99163,2,67,118,9937,69,10055,"1mill"
1,1,"petite","second",388,412,37359,63077,800,100436,29,41,3220,6859,70,10079,"1mill"
1,2,"petite","second",217,526,20810,81550,743,102360,20,50,1939,8141,70,10080,"1mill"
