"sim_number","transfer","time","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
22,4,850,"petite","second",1,8,154,922,9,1076,102,615,9599,93182,717,102781,"100k"
22,5,835,"petite","second",2,6,181,981,8,1162,103,592,10923,91199,695,102122,"100k"
22,6,855,"petite","second",1,7,152,886,8,1038,104,579,10238,90994,683,101232,"100k"
22,7,840,"petite","second",2,6,183,966,8,1149,109,579,11389,91270,688,102659,"100k"
22,8,825,"petite","second",1,7,106,1098,8,1204,60,638,6093,95866,698,101959,"100k"
22,9,855,"petite","second",1,6,63,950,7,1013,40,650,4129,98613,690,102742,"100k"
22,10,830,"petite","second",1,7,110,1063,8,1173,64,625,6450,94590,689,101040,"100k"
18,1,880,"petite","second",7,3,578,520,10,1098,416,413,40000,62708,829,102708,"100k"
18,2,860,"petite","second",2,6,219,799,8,1018,159,562,14947,86312,721,101259,"100k"
18,3,845,"petite","second",2,5,269,856,7,1125,167,564,16752,84410,731,101162,"100k"
18,4,855,"petite","second",3,7,245,829,10,1074,168,566,16407,85896,734,102303,"100k"
18,5,835,"petite","second",2,7,129,1003,9,1132,72,606,7799,92367,678,100166,"100k"
41,1,840,"petite","second",8,4,564,731,12,1295,331,453,32164,69712,784,101876,"100k"
41,2,880,"petite","second",6,3,611,483,9,1094,460,362,46202,56393,822,102595,"100k"
41,3,880,"petite","second",8,2,743,371,10,1114,584,283,56322,44790,867,101112,"100k"
41,4,880,"petite","second",7,2,750,362,9,1112,576,277,56385,43767,853,100152,"100k"
41,5,865,"petite","second",6,5,539,574,11,1113,376,419,38278,62673,795,100951,"100k"
41,6,845,"petite","second",2,5,157,954,7,1111,105,617,9977,92686,722,102663,"100k"
40,1,875,"petite","second",5,3,596,518,8,1114,417,398,40921,60778,815,101699,"100k"
40,2,830,"petite","second",4,5,191,1010,9,1201,119,599,11215,89991,718,101206,"100k"
40,3,845,"petite","second",1,5,89,987,6,1076,56,625,5685,95981,681,101666,"100k"
40,4,855,"petite","second",3,4,453,663,7,1116,298,456,29541,70556,754,100097,"100k"
40,5,880,"petite","second",5,2,698,402,7,1100,533,319,52917,48837,852,101754,"100k"
40,6,865,"petite","second",2,4,315,722,6,1037,225,521,21871,79996,746,101867,"100k"
40,7,845,"petite","second",3,5,368,812,8,1180,234,505,23530,77426,739,100956,"100k"
40,8,835,"petite","second",1,7,55,1050,8,1105,34,642,3150,97088,676,100238,"100k"
40,9,850,"petite","second",1,8,120,932,9,1052,77,585,7644,92849,662,100493,"100k"
40,10,845,"petite","second",1,5,72,1003,6,1075,42,655,4473,97849,697,102322,"100k"
40,11,850,"petite","second",1,6,110,950,7,1060,70,616,7110,94295,686,101405,"100k"
6,1,880,"petite","second",4,3,540,533,7,1073,387,415,37496,62958,802,100454,"100k"
6,2,870,"petite","second",5,5,429,615,10,1044,311,448,30972,70619,759,101591,"100k"
6,3,840,"petite","second",3,4,315,870,7,1185,207,528,19320,82520,735,101840,"100k"
6,4,830,"petite","second",2,7,99,1073,9,1172,60,631,5779,95952,691,101731,"100k"
46,1,870,"petite","second",3,3,536,565,6,1101,362,434,35960,64927,796,100887,"100k"
46,2,860,"petite","second",3,4,486,622,7,1108,330,440,33188,66851,770,100039,"100k"
46,3,890,"petite","second",6,3,756,322,9,1078,609,277,60753,40753,886,101506,"100k"
46,4,900,"petite","second",9,2,805,255,11,1060,687,211,66909,34924,898,101833,"100k"
46,5,840,"petite","second",6,3,555,724,9,1279,350,465,33880,68129,815,102009,"100k"
43,1,875,"petite","second",7,3,554,562,10,1116,377,433,37030,65598,810,102628,"100k"
43,2,855,"petite","second",3,5,348,730,8,1078,241,510,23058,77348,751,100406,"100k"
43,3,840,"petite","second",1,6,133,989,7,1122,86,638,8128,94478,724,102606,"100k"
44,1,850,"petite","second",5,3,580,659,8,1239,353,447,35141,65466,800,100607,"100k"
2,1,870,"petite","second",6,5,551,568,11,1119,346,424,36431,64293,770,100724,"100k"
2,2,855,"petite","second",2,5,315,768,7,1083,217,526,21064,79406,743,100470,"100k"
2,3,860,"petite","second",1,6,150,864,7,1014,110,599,10094,92567,709,102661,"100k"
48,1,865,"petite","second",5,3,514,604,8,1118,360,454,33926,66333,814,100259,"100k"
48,2,860,"petite","second",3,5,329,751,8,1080,232,514,22931,78968,746,101899,"100k"
48,3,850,"petite","second",1,7,43,990,8,1033,29,645,2717,98519,674,101236,"100k"
10,1,885,"petite","second",7,3,545,509,10,1054,410,409,39933,62106,819,102039,"100k"
10,2,860,"petite","second",3,5,237,804,8,1041,174,563,16284,85023,737,101307,"100k"
32,1,875,"petite","second",7,3,565,545,10,1110,380,412,37464,62547,792,100011,"100k"
32,2,905,"petite","second",7,3,713,304,10,1017,623,267,61369,41194,890,102563,"100k"
32,3,915,"petite","second",7,2,835,166,9,1001,759,168,75474,24604,927,100078,"100k"
32,4,890,"petite","second",7,2,696,357,9,1053,566,295,55237,45144,861,100381,"100k"
32,5,875,"petite","second",5,2,604,491,7,1095,450,367,44883,56984,817,101867,"100k"
32,6,860,"petite","second",2,4,264,785,6,1049,186,543,17797,83406,729,101203,"100k"
32,7,830,"petite","second",1,4,174,1027,5,1201,102,599,10222,92500,701,102722,"100k"
32,8,845,"petite","second",1,6,173,933,7,1106,111,582,10933,91157,693,102090,"100k"
7,1,865,"petite","second",6,3,572,587,9,1159,367,422,37074,64699,789,101773,"100k"
7,2,820,"petite","second",1,5,89,1113,6,1202,49,641,4938,95406,690,100344,"100k"
7,3,835,"petite","second",1,6,130,1013,7,1143,79,616,7747,94460,695,102207,"100k"
33,1,850,"petite","second",8,4,574,670,12,1244,354,459,34815,67616,813,102431,"100k"
33,2,830,"petite","second",1,7,57,1077,8,1134,32,633,3275,96881,665,100156,"100k"
30,1,865,"petite","second",5,6,583,567,11,1150,381,410,38099,62756,791,100855,"100k"
30,2,870,"petite","second",4,4,371,656,8,1027,264,501,26753,75035,765,101788,"100k"
30,3,885,"petite","second",6,2,689,390,8,1079,528,319,53437,47835,847,101272,"100k"
30,4,870,"petite","second",5,2,581,525,7,1106,401,387,41834,59630,788,101464,"100k"
30,5,860,"petite","second",3,6,321,740,9,1061,231,515,22170,78112,746,100282,"100k"
30,6,855,"petite","second",1,7,73,941,8,1014,51,652,4785,97113,703,101898,"100k"
27,1,875,"petite","second",5,3,576,532,8,1108,395,423,39074,62737,818,101811,"100k"
27,2,870,"petite","second",5,5,614,490,10,1104,452,369,44447,55772,821,100219,"100k"
27,3,870,"petite","second",3,5,342,696,8,1038,250,499,25282,77417,749,102699,"100k"
27,4,860,"petite","second",2,6,306,740,8,1046,211,514,20819,79247,725,100066,"100k"
27,5,840,"petite","second",1,8,44,1013,9,1057,34,673,2894,97816,707,100710,"100k"
47,1,875,"petite","second",6,2,568,548,8,1116,384,413,38575,62956,797,101531,"100k"
47,2,850,"petite","second",2,6,184,887,8,1071,120,588,11869,88783,708,100652,"100k"
49,1,825,"petite","second",5,4,542,817,9,1359,284,459,29225,71087,743,100312,"100k"
49,2,870,"petite","second",3,4,382,661,7,1043,282,497,27208,74980,779,102188,"100k"
49,3,855,"petite","second",4,5,465,668,9,1133,312,472,30660,70306,784,100966,"100k"
49,4,870,"petite","second",5,4,714,445,9,1159,511,328,51678,50539,839,102217,"100k"
49,5,860,"petite","second",4,3,498,633,7,1131,347,430,33632,67565,777,101197,"100k"
49,6,855,"petite","second",4,5,427,713,9,1140,271,494,27766,75042,765,102808,"100k"
49,7,855,"petite","second",4,3,343,750,7,1093,229,501,23190,77876,730,101066,"100k"
49,8,865,"petite","second",2,6,274,771,8,1045,200,534,18870,83917,734,102787,"100k"
49,9,880,"petite","second",4,3,502,538,7,1040,391,415,38599,64074,806,102673,"100k"
49,10,875,"petite","second",5,4,462,576,9,1038,334,447,34194,65911,781,100105,"100k"
49,11,875,"petite","second",4,4,362,649,8,1011,273,493,26961,75296,766,102257,"100k"
49,12,845,"petite","second",2,5,166,930,7,1096,102,594,10420,90862,696,101282,"100k"
49,13,850,"petite","second",1,5,119,931,6,1050,74,610,7408,94100,684,101508,"100k"
49,14,830,"petite","second",1,4,78,1062,5,1140,47,621,4571,95655,668,100226,"100k"
24,1,870,"petite","second",5,6,523,606,11,1129,356,455,33550,67745,811,101295,"100k"
24,2,865,"petite","second",4,4,435,646,8,1081,305,463,30254,70376,768,100630,"100k"
24,3,865,"petite","second",6,3,698,489,9,1187,491,353,48361,53309,844,101670,"100k"
24,4,855,"petite","second",3,7,277,793,10,1070,184,540,18384,82798,724,101182,"100k"
24,5,840,"petite","second",1,7,101,997,8,1098,70,628,6554,94844,698,101398,"100k"
20,1,855,"petite","second",6,4,531,673,10,1204,338,462,32978,69628,800,102606,"100k"
20,2,855,"petite","second",2,5,309,781,7,1090,201,529,20334,80507,730,100841,"100k"
26,1,845,"petite","second",7,3,569,709,10,1278,345,444,32962,69169,789,102131,"100k"
26,2,845,"petite","second",3,4,333,798,7,1131,208,502,20961,79156,710,100117,"100k"
26,3,860,"petite","second",3,6,367,718,9,1085,246,488,24824,75688,734,100512,"100k"
26,4,860,"petite","second",4,5,381,693,9,1074,260,493,26066,74422,753,100488,"100k"
26,5,880,"petite","second",5,3,499,527,8,1026,374,431,37910,62704,805,100614,"100k"
26,6,855,"petite","second",3,4,306,766,7,1072,201,524,20474,79695,725,100169,"100k"
26,7,865,"petite","second",3,4,337,697,7,1034,236,511,23552,77791,747,101343,"100k"
26,8,855,"petite","second",1,9,102,925,10,1027,65,647,6594,96090,712,102684,"100k"
17,1,865,"petite","second",5,5,541,603,10,1144,362,435,35821,65835,797,101656,"100k"
17,2,850,"petite","second",3,4,258,831,7,1089,164,546,16584,83523,710,100107,"100k"
17,3,815,"petite","second",2,7,193,1107,9,1300,97,601,10421,89716,698,100137,"100k"
11,1,875,"petite","second",6,3,580,528,9,1108,389,410,39121,62412,799,101533,"100k"
11,2,860,"petite","second",3,6,204,813,9,1017,145,583,13844,87931,728,101775,"100k"
11,3,825,"petite","second",1,8,83,1110,9,1193,49,626,4843,96529,675,101372,"100k"
50,1,810,"petite","second",6,3,518,946,9,1464,261,507,25391,75439,768,100830,"100k"
13,1,865,"petite","second",6,4,671,522,10,1193,456,376,44274,56660,832,100934,"100k"
13,2,850,"petite","second",4,4,453,707,8,1160,295,460,29603,70745,755,100348,"100k"
13,3,860,"petite","second",1,5,174,827,6,1001,114,575,11641,88928,689,100569,"100k"
13,4,835,"petite","second",1,7,113,1032,8,1145,72,640,6786,95395,712,102181,"100k"
38,1,890,"petite","second",53,34,5004,5028,87,10032,3774,4169,368368,637802,7943,1006170,"1mill"
38,2,870,"petite","second",30,44,3015,7100,74,10115,2166,5291,214737,803574,7457,1018311,"1mill"
38,3,865,"petite","second",19,54,1861,8173,73,10034,1319,5878,130368,897112,7197,1027480,"1mill"
38,4,855,"petite","second",10,54,842,9197,64,10039,556,6302,55718,954873,6858,1010591,"1mill"
38,5,855,"petite","second",3,65,301,9706,68,10007,202,6649,20095,1008065,6851,1028160,"1mill"
38,6,850,"petite","second",2,57,143,9916,59,10059,88,6627,9302,1001607,6715,1010909,"1mill"
8,1,890,"petite","second",51,33,5071,5094,84,10165,3816,4264,374832,646711,8080,1021543,"1mill"
8,2,870,"petite","second",31,44,3248,6761,75,10009,2369,5060,235153,767133,7429,1002286,"1mill"
8,3,860,"petite","second",16,57,1729,8385,73,10114,1200,5882,119178,896400,7082,1015578,"1mill"
8,4,850,"petite","second",6,60,605,9580,66,10185,380,6339,38429,967095,6719,1005524,"1mill"
8,5,850,"petite","second",3,62,283,9839,65,10122,180,6471,18102,990540,6651,1008642,"1mill"
8,6,850,"petite","second",1,65,161,10017,66,10178,100,6556,10165,1006280,6656,1016445,"1mill"
8,7,855,"petite","second",2,60,263,9757,62,10020,173,6604,17487,1006932,6777,1024419,"1mill"
8,8,850,"petite","second",1,54,65,9935,55,10000,49,6579,4442,1001291,6628,1005733,"1mill"
8,9,850,"petite","second",1,64,141,9921,65,10062,86,6565,8849,997480,6651,1006329,"1mill"
8,10,850,"petite","second",3,64,235,9820,67,10055,145,6529,15573,992365,6674,1007938,"1mill"
39,1,890,"petite","second",52,32,5101,5160,84,10261,3853,4289,375056,652134,8142,1027190,"1mill"
39,2,870,"petite","second",26,47,2602,7417,73,10019,1876,5502,186046,839637,7378,1025683,"1mill"
39,3,860,"petite","second",20,50,1784,8346,70,10130,1226,5816,121266,890616,7042,1011882,"1mill"
39,4,860,"petite","second",14,52,1431,8653,66,10084,963,6033,97179,925782,6996,1022961,"1mill"
