"sim_number","transfer","time","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
14,5,850,"petite","second",5,63,314,9774,68,10088,206,6461,20247,981849,6667,1002096,"Normal"
14,6,850,"petite","second",1,59,47,10021,60,10068,31,6706,3020,1011152,6737,1014172,"Normal"
3,1,885,"petite","second",50,33,5009,5157,83,10166,3684,4177,360950,640180,7861,1001130,"Normal"
3,2,870,"petite","second",28,42,3214,6909,70,10123,2315,5143,231801,780900,7458,1012701,"Normal"
3,3,855,"petite","second",13,56,1291,8832,69,10123,874,5955,86459,915039,6829,1001498,"Normal"
3,4,855,"petite","second",9,52,1274,8891,61,10165,842,6041,84974,919600,6883,1004574,"Normal"
3,5,855,"petite","second",6,59,691,9319,65,10010,464,6249,45751,962914,6713,1008665,"Normal"
3,6,850,"petite","second",1,58,67,10084,59,10151,42,6613,4339,1015641,6655,1019980,"Normal"
36,1,885,"petite","second",51,34,5004,5284,85,10288,3676,4291,360233,649476,7967,1009709,"Normal"
36,2,870,"petite","second",29,42,2903,7157,71,10060,2144,5281,209457,807968,7425,1017425,"Normal"
36,3,860,"petite","second",13,50,1272,8753,63,10025,885,6085,87450,931552,6970,1019002,"Normal"
36,4,850,"petite","second",3,60,353,9760,63,10113,225,6477,22797,984472,6702,1007269,"Normal"
19,1,890,"petite","second",50,36,5103,5056,86,10159,3885,4159,379506,639873,8044,1019379,"Normal"
19,2,875,"petite","second",31,36,3316,6709,67,10025,2469,5152,244506,783542,7621,1028048,"Normal"
19,3,860,"petite","second",12,55,1334,8684,67,10018,915,6144,91095,928829,7059,1019924,"Normal"
19,4,850,"petite","second",3,61,270,9879,64,10149,179,6441,17438,993375,6620,1010813,"Normal"
4,1,890,"petite","second",50,32,5077,5006,82,10083,3880,4190,374589,635329,8070,1009918,"Normal"
4,2,870,"petite","second",31,47,3170,6892,78,10062,2297,5174,227708,782531,7471,1010239,"Normal"
4,3,860,"petite","second",15,50,1731,8465,65,10196,1182,5956,117357,905819,7138,1023176,"Normal"
4,4,860,"petite","second",10,52,1389,8646,62,10035,965,6072,95288,922148,7037,1017436,"Normal"
4,5,855,"petite","second",7,58,816,9253,65,10069,546,6367,53986,960794,6913,1014780,"Normal"
4,6,855,"petite","second",4,56,466,9552,60,10018,299,6472,30752,991916,6771,1022668,"Normal"
4,7,850,"petite","second",2,58,210,9817,60,10027,138,6435,13577,992717,6573,1006294,"Normal"
4,8,850,"petite","second",1,65,126,9955,66,10081,75,6557,8037,1002121,6632,1010158,"Normal"
4,9,850,"petite","second",2,60,243,9879,62,10122,166,6571,15649,995865,6737,1011514,"Normal"
4,10,850,"petite","second",2,67,118,9937,69,10055,77,6583,7498,1005768,6660,1013266,"Normal"
1,1,890,"petite","second",48,39,5019,5073,87,10092,3798,4201,372160,641376,7999,1013536,"Normal"
1,2,870,"petite","second",29,41,3220,6859,70,10079,2383,5044,232419,774412,7427,1006831,"Normal"
1,3,860,"petite","second",20,50,1939,8141,70,10080,1348,5704,132344,868464,7052,1000808,"Normal"
1,4,860,"petite","second",15,51,1611,8499,66,10110,1144,5932,109569,907351,7076,1016920,"Normal"
1,5,855,"petite","second",7,57,682,9401,64,10083,457,6442,46072,980503,6899,1026575,"Normal"
1,6,850,"petite","second",4,59,289,9772,63,10061,185,6496,18732,990579,6681,1009311,"Normal"
1,7,850,"petite","second",1,58,53,9947,59,10000,34,6619,3464,1002938,6653,1006402,"Normal"
34,1,890,"petite","second",54,34,5076,5105,88,10181,3844,4245,376758,647870,8089,1024628,"Normal"
34,2,880,"petite","second",39,37,4011,6053,76,10064,3056,4780,302265,724984,7836,1027249,"Normal"
34,3,860,"petite","second",17,49,1639,8365,66,10004,1149,5926,113427,897909,7075,1011336,"Normal"
34,4,855,"petite","second",8,55,1024,9082,63,10106,694,6178,69237,943467,6872,1012704,"Normal"
28,1,890,"petite","second",50,33,5032,5090,83,10122,3788,4212,370155,643517,8000,1013672,"Normal"
28,2,875,"petite","second",34,38,3865,6166,72,10031,2851,4743,284429,719653,7594,1004082,"Normal"
28,3,860,"petite","second",21,51,2028,8165,72,10193,1387,5654,137871,871141,7041,1009012,"Normal"
28,4,865,"petite","second",15,50,1710,8292,65,10002,1230,5938,118991,909695,7168,1028686,"Normal"
28,5,850,"petite","second",6,59,636,9538,65,10174,413,6366,40993,964934,6779,1005927,"Normal"
28,6,855,"petite","second",4,57,477,9543,61,10020,314,6435,31056,987787,6749,1018843,"Normal"
28,7,855,"petite","second",2,62,244,9757,64,10001,175,6594,15927,1011706,6769,1027633,"Normal"
15,1,890,"petite","second",52,32,5100,5015,84,10115,3843,4252,377242,639738,8095,1016980,"Normal"
15,2,870,"petite","second",26,41,2974,7088,67,10062,2195,5290,214281,802968,7485,1017249,"Normal"
15,3,855,"petite","second",11,55,958,9224,66,10182,642,6226,64124,952862,6868,1016986,"Normal"
15,4,855,"petite","second",5,55,447,9584,60,10031,292,6542,29552,994666,6834,1024218,"Normal"
15,5,855,"petite","second",4,60,418,9584,64,10002,277,6492,28157,996918,6769,1025075,"Normal"
21,1,890,"petite","second",49,29,5029,5128,78,10157,3815,4266,370391,652892,8081,1023283,"Normal"
21,2,870,"petite","second",33,38,3530,6583,71,10113,2551,4873,252275,747835,7424,1000110,"Normal"
21,3,865,"petite","second",22,47,2138,7914,69,10052,1546,5706,150958,870570,7252,1021528,"Normal"
21,4,860,"petite","second",11,50,1249,8752,61,10001,826,6158,85225,937502,6984,1022727,"Normal"
