"sim_number","number_divisions","minutes","experiment","experiment_name"
1,2,103.7981,"slow_first_div","Slow First Division"
1,1,102.8913,"slow_first_div","Slow First Division"
1,2,92.7787,"slow_first_div","Slow First Division"
1,1,111.5055,"slow_first_div","Slow First Division"
1,5,95.5861,"slow_first_div","Slow First Division"
1,1,141.5992,"slow_first_div","Slow First Division"
1,3,87.3247,"slow_first_div","Slow First Division"
1,1,120.8114,"slow_first_div","Slow First Division"
1,3,88.863,"slow_first_div","Slow First Division"
1,1,114.9264,"slow_first_div","Slow First Division"
1,2,89.9939,"slow_first_div","Slow First Division"
1,1,130.774,"slow_first_div","Slow First Division"
1,2,86.8975,"slow_first_div","Slow First Division"
1,1,115.2983,"slow_first_div","Slow First Division"
1,2,74.7058,"slow_first_div","Slow First Division"
1,1,122.7544,"slow_first_div","Slow First Division"
1,2,100.7087,"slow_first_div","Slow First Division"
1,1,102.3736,"slow_first_div","Slow First Division"
1,3,78.153,"slow_first_div","Slow First Division"
1,1,131.9095,"slow_first_div","Slow First Division"
1,4,91.7989,"slow_first_div","Slow First Division"
1,1,122.4893,"slow_first_div","Slow First Division"
1,2,83.8378,"slow_first_div","Slow First Division"
1,1,112.8268,"slow_first_div","Slow First Division"
1,2,88.4476,"slow_first_div","Slow First Division"
1,1,109.9737,"slow_first_div","Slow First Division"
1,2,99.2746,"slow_first_div","Slow First Division"
1,1,134.2899,"slow_first_div","Slow First Division"
1,2,92.4989,"slow_first_div","Slow First Division"
1,1,113.5283,"slow_first_div","Slow First Division"
1,3,97.2632,"slow_first_div","Slow First Division"
1,1,105.445,"slow_first_div","Slow First Division"
1,4,83.6171,"slow_first_div","Slow First Division"
1,1,119.6689,"slow_first_div","Slow First Division"
1,2,96.0793,"slow_first_div","Slow First Division"
1,1,129.2666,"slow_first_div","Slow First Division"
1,9,83.1599,"slow_first_div","Slow First Division"
1,1,112.2766,"slow_first_div","Slow First Division"
1,2,93.4639,"slow_first_div","Slow First Division"
1,1,119.8158,"slow_first_div","Slow First Division"
1,4,70.936,"slow_first_div","Slow First Division"
1,1,127.9247,"slow_first_div","Slow First Division"
1,3,85.6654,"slow_first_div","Slow First Division"
1,1,104.0469,"slow_first_div","Slow First Division"
1,7,91.5661,"slow_first_div","Slow First Division"
1,1,102.3444,"slow_first_div","Slow First Division"
1,2,84.3708,"slow_first_div","Slow First Division"
1,1,124.0978,"slow_first_div","Slow First Division"
1,2,87.4655,"slow_first_div","Slow First Division"
1,1,121.4827,"slow_first_div","Slow First Division"
1,3,77.6508,"slow_first_div","Slow First Division"
1,1,121.8791,"slow_first_div","Slow First Division"
1,2,86.1592,"slow_first_div","Slow First Division"
1,1,106.3368,"slow_first_div","Slow First Division"
1,3,89.5748,"slow_first_div","Slow First Division"
1,1,138.5101,"slow_first_div","Slow First Division"
1,7,83.507,"slow_first_div","Slow First Division"
1,1,116.6051,"slow_first_div","Slow First Division"
1,3,89.5111,"slow_first_div","Slow First Division"
1,1,121.8748,"slow_first_div","Slow First Division"
1,2,84.4373,"slow_first_div","Slow First Division"
1,1,113.5278,"slow_first_div","Slow First Division"
1,3,97.9043,"slow_first_div","Slow First Division"
1,1,120.1358,"slow_first_div","Slow First Division"
1,2,85.3031,"slow_first_div","Slow First Division"
1,1,120.9422,"slow_first_div","Slow First Division"
1,3,84.2165,"slow_first_div","Slow First Division"
1,1,129.5841,"slow_first_div","Slow First Division"
1,6,90.7507,"slow_first_div","Slow First Division"
1,1,111.6043,"slow_first_div","Slow First Division"
1,3,89.0043,"slow_first_div","Slow First Division"
1,1,124.4493,"slow_first_div","Slow First Division"
1,2,79.2346,"slow_first_div","Slow First Division"
1,1,119.0247,"slow_first_div","Slow First Division"
1,2,101.8136,"slow_first_div","Slow First Division"
1,1,116.3223,"slow_first_div","Slow First Division"
1,2,86.7836,"slow_first_div","Slow First Division"
1,1,118.8154,"slow_first_div","Slow First Division"
1,4,91.4421,"slow_first_div","Slow First Division"
1,1,125.9861,"slow_first_div","Slow First Division"
1,5,100.3384,"slow_first_div","Slow First Division"
1,1,130.2659,"slow_first_div","Slow First Division"
1,6,87.8741,"slow_first_div","Slow First Division"
1,1,120.9632,"slow_first_div","Slow First Division"
1,2,80.9114,"slow_first_div","Slow First Division"
1,1,115.8851,"slow_first_div","Slow First Division"
1,8,88.9202,"slow_first_div","Slow First Division"
1,1,123.5767,"slow_first_div","Slow First Division"
1,2,88.919,"slow_first_div","Slow First Division"
1,1,104.1001,"slow_first_div","Slow First Division"
1,2,102.8546,"slow_first_div","Slow First Division"
1,1,142.5094,"slow_first_div","Slow First Division"
1,3,93.5692,"slow_first_div","Slow First Division"
1,1,120.9221,"slow_first_div","Slow First Division"
1,2,83.3862,"slow_first_div","Slow First Division"
1,1,131.5173,"slow_first_div","Slow First Division"
1,2,91.2766,"slow_first_div","Slow First Division"
1,1,129.6149,"slow_first_div","Slow First Division"
1,5,93.6761,"slow_first_div","Slow First Division"
1,1,110.9709,"slow_first_div","Slow First Division"
1,3,90.3495,"slow_first_div","Slow First Division"
1,1,118.9476,"slow_first_div","Slow First Division"
1,2,83.2567,"slow_first_div","Slow First Division"
1,1,103.5805,"slow_first_div","Slow First Division"
1,5,79.3882,"slow_first_div","Slow First Division"
1,1,128.6707,"slow_first_div","Slow First Division"
1,4,92.0479,"slow_first_div","Slow First Division"
1,1,120.1235,"slow_first_div","Slow First Division"
1,2,92.1739,"slow_first_div","Slow First Division"
1,1,121.5737,"slow_first_div","Slow First Division"
1,4,103.2876,"slow_first_div","Slow First Division"
1,1,105.2243,"slow_first_div","Slow First Division"
1,4,89.311,"slow_first_div","Slow First Division"
1,1,129.0966,"slow_first_div","Slow First Division"
1,3,85.8873,"slow_first_div","Slow First Division"
1,1,111.2276,"slow_first_div","Slow First Division"
1,6,91.4541,"slow_first_div","Slow First Division"
1,1,98.6107,"slow_first_div","Slow First Division"
1,2,78.5643,"slow_first_div","Slow First Division"
1,1,113.2631,"slow_first_div","Slow First Division"
1,5,81.9943,"slow_first_div","Slow First Division"
1,1,120.2722,"slow_first_div","Slow First Division"
1,2,83.6562,"slow_first_div","Slow First Division"
1,1,116.5576,"slow_first_div","Slow First Division"
1,3,85.2811,"slow_first_div","Slow First Division"
1,1,131.249,"slow_first_div","Slow First Division"
1,3,94.1235,"slow_first_div","Slow First Division"
1,1,141.2018,"slow_first_div","Slow First Division"
1,2,95.7937,"slow_first_div","Slow First Division"
1,1,105.3705,"slow_first_div","Slow First Division"
1,5,101.9896,"slow_first_div","Slow First Division"
1,1,122.7721,"slow_first_div","Slow First Division"
1,4,90.2861,"slow_first_div","Slow First Division"
1,1,142.703,"slow_first_div","Slow First Division"
1,3,88.3603,"slow_first_div","Slow First Division"
1,1,112.9988,"slow_first_div","Slow First Division"
1,4,85.3838,"slow_first_div","Slow First Division"
1,1,124.2602,"slow_first_div","Slow First Division"
1,3,80.4309,"slow_first_div","Slow First Division"
1,1,120.0352,"slow_first_div","Slow First Division"
1,2,81.4192,"slow_first_div","Slow First Division"
1,1,117.6154,"slow_first_div","Slow First Division"
1,3,91.6325,"slow_first_div","Slow First Division"
1,1,117.0334,"slow_first_div","Slow First Division"
1,2,90.319,"slow_first_div","Slow First Division"
1,1,112.4998,"slow_first_div","Slow First Division"
1,3,93.332,"slow_first_div","Slow First Division"
1,1,110.5983,"slow_first_div","Slow First Division"
1,8,84.8017,"slow_first_div","Slow First Division"
1,1,111.075,"slow_first_div","Slow First Division"
1,3,89.8554,"slow_first_div","Slow First Division"
1,1,142.5972,"slow_first_div","Slow First Division"
1,2,84.4033,"slow_first_div","Slow First Division"
1,1,114.1553,"slow_first_div","Slow First Division"
1,4,90.6037,"slow_first_div","Slow First Division"
1,1,145.3589,"slow_first_div","Slow First Division"
1,2,98.3189,"slow_first_div","Slow First Division"
1,1,119.1362,"slow_first_div","Slow First Division"
1,3,82.7202,"slow_first_div","Slow First Division"
1,1,133.862,"slow_first_div","Slow First Division"
1,3,100.3433,"slow_first_div","Slow First Division"
1,1,115.5822,"slow_first_div","Slow First Division"
1,2,90.099,"slow_first_div","Slow First Division"
1,1,111.7942,"slow_first_div","Slow First Division"
1,2,87.6953,"slow_first_div","Slow First Division"
1,1,144.5105,"slow_first_div","Slow First Division"
1,2,91.323,"slow_first_div","Slow First Division"
1,1,123.838,"slow_first_div","Slow First Division"
1,2,86.0134,"slow_first_div","Slow First Division"
1,1,121.5899,"slow_first_div","Slow First Division"
1,2,80.8234,"slow_first_div","Slow First Division"
1,1,112.5607,"slow_first_div","Slow First Division"
1,2,86.1723,"slow_first_div","Slow First Division"
1,1,134.0138,"slow_first_div","Slow First Division"
1,2,88.4116,"slow_first_div","Slow First Division"
1,1,131.1981,"slow_first_div","Slow First Division"
1,3,83.149,"slow_first_div","Slow First Division"
1,1,118.9402,"slow_first_div","Slow First Division"
1,7,84.6245,"slow_first_div","Slow First Division"
1,1,117.1604,"slow_first_div","Slow First Division"
1,2,98.4682,"slow_first_div","Slow First Division"
1,1,132.7584,"slow_first_div","Slow First Division"
1,4,85.2133,"slow_first_div","Slow First Division"
1,1,124.7592,"slow_first_div","Slow First Division"
1,9,90.6486,"slow_first_div","Slow First Division"
1,1,120.59,"slow_first_div","Slow First Division"
1,2,82.2994,"slow_first_div","Slow First Division"
1,1,125.9446,"slow_first_div","Slow First Division"
1,2,99.6847,"slow_first_div","Slow First Division"
1,1,129.4282,"slow_first_div","Slow First Division"
1,3,72.5523,"slow_first_div","Slow First Division"
1,1,126.2479,"slow_first_div","Slow First Division"
1,2,107.4576,"slow_first_div","Slow First Division"
1,1,118.404,"slow_first_div","Slow First Division"
1,4,86.7847,"slow_first_div","Slow First Division"
1,1,102.5762,"slow_first_div","Slow First Division"
1,3,89.9547,"slow_first_div","Slow First Division"
1,1,106.8475,"slow_first_div","Slow First Division"
1,2,91.2583,"slow_first_div","Slow First Division"
1,1,130.6391,"slow_first_div","Slow First Division"
1,2,86.0243,"slow_first_div","Slow First Division"
1,1,125.5337,"slow_first_div","Slow First Division"
1,4,86.5318,"slow_first_div","Slow First Division"
1,1,125.8014,"slow_first_div","Slow First Division"
1,6,109.6857,"slow_first_div","Slow First Division"
1,1,145.1626,"slow_first_div","Slow First Division"
