"sim_number","generation","diameter","experiment","experiment_name"
2,19,11,"slow_first_div","Slow First Division"
2,20,11,"slow_first_div","Slow First Division"
2,21,11,"slow_first_div","Slow First Division"
2,22,11,"slow_first_div","Slow First Division"
2,23,11,"slow_first_div","Slow First Division"
2,24,11,"slow_first_div","Slow First Division"
2,25,12,"slow_first_div","Slow First Division"
2,26,11,"slow_first_div","Slow First Division"
2,27,11,"slow_first_div","Slow First Division"
2,28,12,"slow_first_div","Slow First Division"
2,29,12,"slow_first_div","Slow First Division"
2,30,12,"slow_first_div","Slow First Division"
2,31,11,"slow_first_div","Slow First Division"
2,32,11,"slow_first_div","Slow First Division"
2,33,11,"slow_first_div","Slow First Division"
2,34,11,"slow_first_div","Slow First Division"
2,35,11,"slow_first_div","Slow First Division"
2,36,12,"slow_first_div","Slow First Division"
2,37,11,"slow_first_div","Slow First Division"
2,38,11,"slow_first_div","Slow First Division"
2,39,11,"slow_first_div","Slow First Division"
2,40,12,"slow_first_div","Slow First Division"
2,41,12,"slow_first_div","Slow First Division"
2,42,11,"slow_first_div","Slow First Division"
2,43,11,"slow_first_div","Slow First Division"
2,44,11,"slow_first_div","Slow First Division"
2,45,11,"slow_first_div","Slow First Division"
2,46,11,"slow_first_div","Slow First Division"
2,47,11,"slow_first_div","Slow First Division"
2,48,12,"slow_first_div","Slow First Division"
2,49,11,"slow_first_div","Slow First Division"
2,50,11,"slow_first_div","Slow First Division"
2,51,11,"slow_first_div","Slow First Division"
2,52,11,"slow_first_div","Slow First Division"
2,53,12,"slow_first_div","Slow First Division"
2,54,11,"slow_first_div","Slow First Division"
2,55,11,"slow_first_div","Slow First Division"
2,56,12,"slow_first_div","Slow First Division"
2,57,11,"slow_first_div","Slow First Division"
2,58,11,"slow_first_div","Slow First Division"
2,59,11,"slow_first_div","Slow First Division"
2,60,11,"slow_first_div","Slow First Division"
2,61,11,"slow_first_div","Slow First Division"
2,62,12,"slow_first_div","Slow First Division"
2,63,12,"slow_first_div","Slow First Division"
2,64,11,"slow_first_div","Slow First Division"
2,65,11,"slow_first_div","Slow First Division"
2,66,11,"slow_first_div","Slow First Division"
2,67,11,"slow_first_div","Slow First Division"
2,68,11,"slow_first_div","Slow First Division"
2,69,11,"slow_first_div","Slow First Division"
2,70,11,"slow_first_div","Slow First Division"
2,71,11,"slow_first_div","Slow First Division"
2,72,11,"slow_first_div","Slow First Division"
2,73,13,"slow_first_div","Slow First Division"
2,74,11,"slow_first_div","Slow First Division"
