"Area","Mean","StdDev","Min","Max","X","Y","Perim.","Major","Minor","Angle","Circ.","IntDen","Median","X.Area","RawIntDen","Slice","AR","Round","Solidity","group_id","num_cells","date","strain","replicate","image_num"
78.7744,255,0,255,255,322.95529,247.67609,36.88958,10.36483,9.67683,122.09717,0.72742,20087.47178,255,100,953445,1,1.0711,0.93362,0.90918,"9",1,"2025may19","grande","1","008"
137.66032,255,0,255,255,228.52598,284.49163,47.22612,15.23983,11.50108,46.83957,0.77563,35103.38074,255,100,1666170,1,1.32508,0.75467,0.94028,"10",3,"2025may19","grande","1","008"
113.85313,255,0,255,255,477.11807,296.75787,42.99189,14.74867,9.82884,120.04362,0.77407,29032.54814,255,100,1378020,1,1.50055,0.66642,0.93885,"11",2,"2025may19","grande","1","008"
9606.6844,255,0,255,255,407.65251,372.08448,586.50211,126.01105,97.06776,83.5926,0.35095,2449704.52175,255,100,116274390,1,1.29818,0.77031,0.86103,"12",373,"2025may19","grande","1","008"
207.14359,255,0,255,255,163.65273,16.39841,72.85241,18.85757,13.98607,76.75244,0.49045,52821.61608,255,100,2507160,1,1.34831,0.74167,0.84978,"1",4,"2025may19","grande","1","009"
11332.41048,255,0,255,255,66.29492,102.24151,709.52843,140.44076,102.73992,100.49342,0.28287,2889764.67176,255,100,137161695,1,1.36695,0.73155,0.84861,"2",450,"2025may19","grande","1","009"
81.55542,255,0,255,255,201.47172,141.35207,36.31753,10.83505,9.58367,103.74126,0.77702,20796.63099,255,100,987105,1,1.13057,0.88451,0.93661,"3",1,"2025may19","grande","1","009"
86.29578,255,0,255,255,464.14859,142.53763,37.89531,10.72175,10.24788,82.20098,0.75514,22005.42509,255,100,1044480,1,1.04624,0.9558,0.92148,"4",1,"2025may19","grande","1","009"
167.40877,255,0,255,255,349.73797,156.69233,55.98238,17.09618,12.46778,51.5559,0.67125,42689.23529,255,100,2026230,1,1.37123,0.72927,0.9046,"5",3,"2025may19","grande","1","009"
62.72035,255,0,255,255,467.05459,218.41465,34.64617,11.35079,7.03546,77.62313,0.65661,15993.68908,255,100,759135,1,1.61337,0.61982,0.87276,"6",1,"2025may19","grande","1","009"
6030.31825,255,0,255,255,647.39783,292.93861,483.22921,89.42586,85.85928,7.88524,0.32452,1537731.15402,255,100,72987885,1,1.04154,0.96012,0.83619,"7",216,"2025may19","grande","1","009"
11691.92006,255,0,255,255,201.78231,327.07681,760.9073,177.75187,83.74941,54.54656,0.25377,2981439.61651,255,100,141513015,1,2.12243,0.47116,0.83133,"8",446,"2025may19","grande","1","009"
128.79056,255,0,255,255,57.01264,271.68796,50.07075,15.93864,10.28828,21.33634,0.64554,32841.59267,255,100,1558815,1,1.5492,0.64549,0.89046,"9",2,"2025may19","grande","1","009"
85.20023,255,0,255,255,96.11616,282.64315,37.51998,11.00429,9.858,39.12405,0.76055,21726.05934,255,100,1031220,1,1.11628,0.89583,0.92731,"10",1,"2025may19","grande","1","009"
4120.66585,255,0,255,255,290.28404,427.67761,385.55096,82.77011,63.38755,38.12223,0.34835,1050769.79282,255,100,49874430,1,1.30578,0.76583,0.85376,"11",138,"2025may19","grande","1","009"
55.19896,255,0,255,255,153.09989,2.79501,33.85426,11.16607,6.2942,178.4442,0.60522,14075.73577,255,100,668100,1,1.77403,0.56369,0.88484,"1",1,"2025may19","grande","1","010"
68.59841,255,0,255,255,397.93052,3.49326,41.97408,11.04905,7.90495,16.96384,0.48928,17492.59377,255,100,830280,1,1.39774,0.71544,0.81717,"2",1,"2025may19","grande","1","010"
14198.01623,255,0,255,255,253.42091,103.10546,849.33872,194.36081,93.00988,50.94491,0.24733,3620494.13793,255,100,171845520,1,2.08968,0.47854,0.82272,"3",555,"2025may19","grande","1","010"
230.97185,255,0,255,255,461.93807,39.81805,76.10155,19.89682,14.78038,176.29407,0.50117,58897.82111,255,100,2795565,1,1.34616,0.74285,0.85123,"4",4,"2025may19","grande","1","010"
83.5569,255,0,255,255,14.03582,54.57678,47.05607,10.88886,9.77035,125.06763,0.4742,21307.01072,255,100,1011330,1,1.11448,0.89728,0.78918,"5",1,"2025may19","grande","1","010"
202.951,255,0,255,255,372.13593,108.21905,63.58599,19.64887,13.15115,64.75324,0.63078,51752.50485,255,100,2456415,1,1.49408,0.66931,0.89672,"6",4,"2025may19","grande","1","010"
137.42857,255,0,255,255,330.3123,125.94137,50.12911,16.01502,10.92596,55.06866,0.68724,35044.28414,255,100,1663365,1,1.46578,0.68223,0.90837,"7",2,"2025may19","grande","1","010"
168.56752,255,0,255,255,127.38779,132.34019,65.46866,15.97406,13.43596,14.52112,0.49422,42984.71829,255,100,2040255,1,1.1889,0.84111,0.85312,"8",3,"2025may19","grande","1","010"
86.31685,255,0,255,255,64.88301,135.05047,43.9624,11.20439,9.80884,175.85621,0.56123,22010.79751,255,100,1044735,1,1.14227,0.87545,0.85018,"9",1,"2025may19","grande","1","010"
110.37686,255,0,255,255,485.38855,164.05347,42.88623,13.89595,10.11347,37.17527,0.75414,28146.09913,255,100,1335945,1,1.374,0.7278,0.93654,"10",2,"2025may19","grande","1","010"
6416.64779,255,0,255,255,448.50322,221.60126,543.67173,94.79537,86.1849,62.99678,0.2728,1636245.18718,255,100,77663820,1,1.09991,0.90917,0.78097,"11",236,"2025may19","grande","1","010"
193.36492,255,0,255,255,698.60156,208.79863,69.55347,22.11785,11.13128,109.59029,0.50228,49308.05456,255,100,2340390,1,1.987,0.50327,0.8438,"12",2,"2025may19","grande","1","010"
217.19317,255,0,255,255,201.83353,277.13333,63.9905,19.16722,14.4277,77.55966,0.66654,55384.25958,255,100,2628795,1,1.3285,0.75273,0.90577,"13",4,"2025may19","grande","1","010"
6632.87183,255,0,255,255,630.55808,332.53933,510.069,103.11609,81.90026,140.96497,0.32037,1691382.31553,255,100,80280885,1,1.25904,0.79425,0.82919,"14",245,"2025may19","grande","1","010"
94.21747,255,0,255,255,406.29367,286.02937,44.66324,13.06007,9.18536,38.14091,0.59353,24025.45434,255,100,1140360,1,1.42184,0.70332,0.87489,"15",2,"2025may19","grande","1","010"
221.09081,255,0,255,255,130.92861,312.34246,66.08448,23.01212,12.23275,38.61327,0.63618,56378.15695,255,100,2675970,1,1.88119,0.53158,0.89681,"16",5,"2025may19","grande","1","010"
230.97185,255,0,255,255,699.72082,347.46441,77.7085,20.24602,14.52545,93.57754,0.48065,58897.82111,255,100,2795565,1,1.39383,0.71745,0.82326,"17",4,"2025may19","grande","1","010"
