LABEL,TRACK_ID,N_PREDECESSORS,N_SUCCESSORS,minutes,FIRST,LAST,d1_id,d1_minutes,d2_id,d2_minutes,diff_minutes,mother_id,mother_minutes,daughter_id,daughter_minutes,date,strain,timepoint,strain_timepoint,complete_id,id_file
Track_312: ID13070 → ID4118,312,1,2,85.0,13070,4118,13081,90,4489,80,10,4489,80,13081,90,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_312: ID13181 → ID4365,312,1,2,85.0,13181,4365,4119,80,13221,75,5,4119,80,13221,75,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_368: ID13299 → ID2529,368,1,2,85.0,13299,2529,13439,90,2980,85,5,2980,85,13439,90,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_368: ID13439 → ID3366,368,1,2,90.0,13439,3366,13462,80,3414,90,10,3414,90,13462,80,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_368: ID13456 → ID4015,368,1,2,75.0,13456,4015,4280,85,4281,75,10,4280,85,4281,75,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_368: ID13462 → ID3959,368,1,2,80.0,13462,3959,13914,85,4269,85,0,4269,85,13914,85,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_368: ID13615 → ID6109,368,1,2,75.0,13615,6109,6377,80,13632,85,5,6377,80,13632,85,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_425: ID13785 → ID2598,425,1,2,75.0,13785,2598,2503,80,13851,85,5,2503,80,13851,85,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_425: ID13851 → ID3399,425,1,2,85.0,13851,3399,3560,80,13931,85,5,3560,80,13931,85,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_368: ID13914 → ID5061,368,1,2,85.0,13914,5061,5107,95,13530,100,5,5107,95,13530,100,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_425: ID14008 → ID5922,425,1,2,80.0,14008,5922,19428,80,6415,75,5,6415,75,19428,80,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_432: ID14176 → ID4503,432,1,2,75.0,14176,4503,14256,80,4694,80,0,4694,80,14256,80,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_432: ID14256 → ID5298,432,1,2,80.0,14256,5298,14295,75,5122,80,5,5122,80,14295,75,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_522: ID14488 → ID2594,522,1,2,75.0,14488,2594,14518,80,2896,85,5,2896,85,14518,80,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_522: ID14504 → ID3276,522,1,2,95.0,14504,3276,17547,70,3148,70,0,3148,70,17547,70,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_522: ID14518 → ID2636,522,1,2,80.0,14518,2636,2959,80,14529,75,5,2959,80,14529,75,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_522: ID14529 → ID3549,522,1,2,75.0,14529,3549,14556,85,3691,85,0,3691,85,14556,85,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_522: ID14536 → ID3717,522,1,2,75.0,14536,3717,14576,80,3799,75,5,3799,75,14576,80,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_522: ID14556 → ID4563,522,1,2,85.0,14556,4563,4469,90,14643,90,0,4469,90,14643,90,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_522: ID14866 → ID3862,522,1,2,75.0,14866,3862,14890,80,3740,85,5,3740,85,14890,80,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_522: ID14890 → ID4648,522,1,2,80.0,14890,4648,4556,70,14936,75,5,4556,70,14936,75,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_537: ID17042 → ID4134,537,1,2,75.0,17042,4134,17123,70,3771,70,0,3771,70,17123,70,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_627: ID17104 → ID3463,627,1,2,65.0,17104,3463,3597,75,17957,70,5,3597,75,17957,70,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_537: ID17123 → ID4906,537,1,2,70.0,17123,4906,17140,75,5011,75,0,5011,75,17140,75,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_537: ID17133 → ID5768,537,1,2,75.0,17133,5768,17261,80,5488,85,5,5488,85,17261,80,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_537: ID17140 → ID5811,537,1,2,75.0,17140,5811,5550,70,17328,70,0,5550,70,17328,70,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_537: ID17226 → ID7008,537,1,2,85.0,17226,7008,6922,70,6942,70,0,6922,70,6942,70,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_537: ID17328 → ID6174,537,1,2,70.0,17328,6174,6533,80,17226,85,5,6533,80,17226,85,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_522: ID17439 → ID8295,522,1,2,90.0,17439,8295,17492,125,8244,125,0,8244,125,17492,125,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_522: ID17547 → ID3755,522,1,2,70.0,17547,3755,3711,85,17567,80,5,3711,85,17567,80,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_522: ID17567 → ID4679,522,1,2,80.0,17567,4679,4514,80,17582,80,0,4514,80,17582,80,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_522: ID17582 → ID5191,522,1,2,80.0,17582,5191,5447,70,17623,70,0,5447,70,17623,70,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_522: ID17623 → ID6037,522,1,2,70.0,17623,6037,6034,80,17689,85,5,6034,80,17689,85,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_522: ID17689 → ID7266,522,1,2,85.0,17689,7266,17759,75,7272,70,5,7272,70,17759,75,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_522: ID17759 → ID7740,522,1,2,75.0,17759,7740,17782,90,7685,90,0,7685,90,17782,90,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_627: ID17919 → ID3120,627,1,2,65.0,17919,3120,17104,65,3082,65,0,3082,65,17104,65,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_627: ID17957 → ID4082,627,1,2,70.0,17957,4082,4439,80,12770,75,5,4439,80,12770,75,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_627: ID18126 → ID6843,627,1,2,70.0,18126,6843,7120,85,18149,85,0,7120,85,18149,85,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_627: ID18149 → ID6911,627,1,2,85.0,18149,6911,18167,80,6845,80,0,6845,80,18167,80,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_15: ID18393 → ID3038,15,1,2,70.0,18393,3038,18422,75,3063,70,5,3063,70,18422,75,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_15: ID18422 → ID3820,15,1,2,75.0,18422,3820,3986,80,18596,85,5,3986,80,18596,85,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_425: ID19428 → ID6825,425,1,2,80.0,19428,6825,6683,70,14053,70,0,6683,70,14053,70,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_522: ID2011 → ID2901,522,1,2,80.0,2011,2901,14504,95,2552,85,10,2552,85,14504,95,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_425: ID2503 → ID3429,425,1,2,80.0,2503,3429,3424,70,13863,80,10,3424,70,13863,80,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_522: ID2959 → ID3704,522,1,2,80.0,2959,3704,3796,145,14564,75,70,3796,145,14564,75,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_368: ID2980 → ID3450,368,1,2,85.0,2980,3450,13456,75,3377,70,5,3377,70,13456,75,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_522: ID3691 → ID4615,522,1,2,85.0,3691,4615,14660,85,4636,85,0,4636,85,14660,85,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_126: ID3932 → ID4715,126,1,2,90.0,3932,4715,5684,75,10965,75,0,5684,75,10965,75,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_368: ID4269 → ID5121,368,1,2,85.0,4269,5121,13538,85,5189,75,10,5189,75,13538,85,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_368: ID4281 → ID4969,368,1,2,75.0,4281,4969,13615,75,5235,75,0,5235,75,13615,75,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_522: ID4469 → ID5090,522,1,2,90.0,4469,5090,5324,80,14720,75,5,5324,80,14720,75,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_126: ID4813 → ID6342,126,1,2,80.0,4813,6342,11014,90,6248,85,5,6248,85,11014,90,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_537: ID6942 → ID7831,537,1,2,70.0,6942,7831,7846,85,17358,90,5,7846,85,17358,90,2023jan26,PA3,t600,PA3_t600,PA3_t600_8_2023jan26,2023jan26_gob1409_8
Track_42: ID14432 → ID14432,42,0,2,0.0,14432,14432,14315,115,37916,110,5,14315,115,37916,110,2023jan13,PA4,t400,PA4_t400,PA4_t400_6_2023jan13,2023jan13_pa4-t400_6
Track_66: ID14752 → ID14778,66,0,2,50.0,14752,14778,14871,125,38647,125,0,14871,125,38647,125,2023jan13,PA4,t400,PA4_t400,PA4_t400_6_2023jan13,2023jan13_pa4-t400_6
Track_94: ID14886 → ID14974,94,0,2,65.0,14886,14974,14916,110,39230,110,0,14916,110,39230,110,2023jan13,PA4,t400,PA4_t400,PA4_t400_6_2023jan13,2023jan13_pa4-t400_6
Track_80: ID14341 → ID14596,80,1,2,95.0,14341,14596,38865,110,14548,110,0,14548,110,38865,110,2023jan13,PA4,t400,PA4_t400,PA4_t400_6_2023jan13,2023jan13_pa4-t400_6
Track_42: ID14521 → ID14695,42,1,2,115.0,14521,14695,14708,115,37971,115,0,14708,115,37971,115,2023jan13,PA4,t400,PA4_t400,PA4_t400_6_2023jan13,2023jan13_pa4-t400_6
Track_42: ID14694 → ID14959,42,1,2,115.0,14694,14959,15057,100,38065,95,5,15057,100,38065,95,2023jan13,PA4,t400,PA4_t400,PA4_t400_6_2023jan13,2023jan13_pa4-t400_6
Track_66: ID14871 → ID38680,66,1,2,125.0,14871,38680,38668,110,38660,105,5,38668,110,38660,105,2023jan13,PA4,t400,PA4_t400,PA4_t400_6_2023jan13,2023jan13_pa4-t400_6
Track_42: ID15113 → ID15295,42,1,2,125.0,15113,15295,38123,100,15337,95,5,15337,95,38123,100,2023jan13,PA4,t400,PA4_t400,PA4_t400_6_2023jan13,2023jan13_pa4-t400_6
Track_80: ID15256 → ID15823,80,1,2,120.0,15256,15823,39056,100,15697,105,5,15697,105,39056,100,2023jan13,PA4,t400,PA4_t400,PA4_t400_6_2023jan13,2023jan13_pa4-t400_6
Track_42: ID37916 → ID14523,42,1,2,110.0,37916,14523,14521,115,37931,115,0,14521,115,37931,115,2023jan13,PA4,t400,PA4_t400,PA4_t400_6_2023jan13,2023jan13_pa4-t400_6
